Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Temporary Registration Card (white),11,149,160
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,1,16,17
 None,1202,21418,22620
 Child under 10 years,1442,21686,23128
 Total,7727,114399,122126
AREA # 100104,Thanbyuzayat,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),33724,62538,96262
 Associate Scrutiny Card (blue),14,45,59
 Naturalised Scrutiny Card (green),146,176,322
 National Registration Card (3-fold),666,748,1414
 Religious card,640,533,1173
 Temporary Registration Card (white),153,318,471
 Foreign Registration Card (FRC),-,5,5
 Foreign Passport,9,15,24
 None,12169,25409,37578
 Child under 10 years,9687,23541,33228
 Total,57208,113328,170536
AREA # 100105,Mudon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),33473,84427,117900
 Associate Scrutiny Card (blue),16,60,76
 Naturalised Scrutiny Card (green),107,184,291
 National Registration Card (3-fold),723,914,1637
 Religious card,779,1107,1886
 Temporary Registration Card (white),73,339,412
 Foreign Registration Card (FRC),5,5,10
 Foreign Passport,3,17,20
 None,9103,24942,34045
 Child under 10 years,8232,26228,34460
 Total,52514,138223,190737
AREA # 100106,Ye,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),21993,62553,84546
 Associate Scrutiny Card (blue),13,50,63
 Naturalised Scrutiny Card (green),72,216,288
 National Registration Card (3-fold),385,1080,1465
 Religious card,217,649,866
 Temporary Registration Card (white),78,296,374
 Foreign Registration Card (FRC),3,5,8
 Foreign Passport,5,11,16
 None,6001,29347,35348
 Child under 10 years,5663,23848,29511
 Total,34430,118055,152485
AREA # 100151,Lamine,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7768,37192,44960
 Associate Scrutiny Card (blue),4,15,19
 Naturalised Scrutiny Card (green),12,77,89
 National Registration Card (3-fold),134,612,746
 Religious card,63,261,324
 Temporary Registration Card (white),40,151,191
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,-,16,16
 None,2759,19363,22122
 Child under 10 years,2833,17174,20007
 Total,13614,74862,88476
AREA # 100152,Khawzar,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2275,11110,13385
 Associate Scrutiny Card (blue),1,7,8
 Naturalised Scrutiny Card (green),4,38,42
 National Registration Card (3-fold),57,157,214
 Religious card,13,74,87
 Temporary Registration Card (white),34,40,74
 Foreign Passport,-,1,1
 None,739,3633,4372
 Child under 10 years,721,3759,4480
 Total,3844,18819,22663
AREA # 100201,Thaton,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),29305,82773,112078
 Associate Scrutiny Card (blue),32,51,83
 Naturalised Scrutiny Card (green),390,411,801
 National Registration Card (3-fold),2397,2032,4429
 Religious card,875,1134,2009
 Temporary Registration Card (white),78,544,622
 Foreign Registration Card (FRC),8,3,11
 Foreign Passport,24,73,97
 None,12745,55055,67800
 Child under 10 years,9193,40983,50176
 Total,55047,183059,238106
AREA # 100202,Paung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),18049,91498,109547
 Associate Scrutiny Card (blue),2,75,77
 Naturalised Scrutiny Card (green),211,2423,2634
 National Registration Card (3-fold),315,4894,5209
 Religious card,183,973,1156
 Temporary Registration Card (white),55,279,334
 Foreign Registration Card (FRC),1,11,12
 Foreign Passport,6,40,46
 None,5264,48696,53960
 Child under 10 years,5348,40136,45484
 Total,29434,189025,218459
AREA # 100203,Kyaikto,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),20016,80817,100833
 Associate Scrutiny Card (blue),34,92,126
 Naturalised Scrutiny Card (green),128,221,349
 National Registration Card (3-fold),606,1108,1714
 Religious card,359,1235,1594
 Temporary Registration Card (white),101,451,552
 Foreign Registration Card (FRC),1,7,8
 Foreign Passport,-,38,38
 None,7452,33568,41020
 Child under 10 years,6527,31771,38298
 Total,35224,149308,184532
AREA # 100204,Bilin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11269,81573,92842
 Associate Scrutiny Card (blue),5,78,83
 Naturalised Scrutiny Card (green),26,292,318
 National Registration Card (3-fold),209,1375,1584
 Religious card,305,1481,1786
 Temporary Registration Card (white),41,252,293
 Foreign Registration Card (FRC),3,6,9
 Foreign Passport,-,36,36
 None,3385,41763,45148
 Child under 10 years,3149,35827,38976
 Total,18392,162683,181075
AREA # 110101,Sittway,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),57460,22994,80454
 Associate Scrutiny Card (blue),39,18,57
 Naturalised Scrutiny Card (green),820,88,908
 National Registration Card (3-fold),686,350,1036
 Religious card,1036,85,1121
 Temporary Registration Card (white),1084,292,1376
 Foreign Registration Card (FRC),16,2,18
 Foreign Passport,166,28,194
 None,24921,14290,39211
 Child under 10 years,14520,9004,23524
 Total,100748,47151,147899
AREA # 110102,Ponnagyun,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7624,52803,60427
 Associate Scrutiny Card (blue),4,20,24
 Naturalised Scrutiny Card (green),48,29,77
 National Registration Card (3-fold),19,182,201
 Religious card,46,337,383
 Temporary Registration Card (white),27,215,242
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,-,30,30
 None,2842,39148,41990
 Child under 10 years,2080,24297,26377
 Total,12691,117062,129753
AREA # 110103,Pauktaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7417,47952,55369
 Associate Scrutiny Card (blue),2,53,55
 Naturalised Scrutiny Card (green),5,86,91
 National Registration Card (3-fold),8,266,274
 Religious card,56,350,406
 Temporary Registration Card (white),5,123,128
 Foreign Passport,2,43,45
 None,2977,56202,59179
 Child under 10 years,2242,28168,30410
 Total,12714,133243,145957
AREA # 110104,Yethedaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4526,46310,50836
 Associate Scrutiny Card (blue),1,35,36
 Naturalised Scrutiny Card (green),13,75,88
 National Registration Card (3-fold),18,319,337
 Religious card,49,314,363
 Temporary Registration Card (white),17,259,276
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,2,34,36
 None,1526,35082,36608
 Child under 10 years,1359,22033,23392
 Total,7511,104463,111974
AREA # 110201,Myauk U,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),21018,68522,89540
 Associate Scrutiny Card (blue),11,30,41
 Naturalised Scrutiny Card (green),16,30,46
 National Registration Card (3-fold),31,299,330
 Religious card,361,477,838
 Temporary Registration Card (white),52,264,316
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,30,39,69
 None,8328,52289,60617
 Child under 10 years,6292,31539,37831
 Total,36139,153491,189630
AREA # 110202,Kyauktaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12379,68637,81016
 Associate Scrutiny Card (blue),3,29,32
 Naturalised Scrutiny Card (green),59,247,306
 National Registration Card (3-fold),13,252,265
 Religious card,128,482,610
 Temporary Registration Card (white),18,142,160
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,7,60,67
 None,3727,52156,55883
 Child under 10 years,3158,31602,34760
 Total,19492,153608,173100
AREA # 110203,Minbya,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12641,60056,72697
 Associate Scrutiny Card (blue),4,31,35
 Naturalised Scrutiny Card (green),40,30,70
 National Registration Card (3-fold),13,135,148
 Religious card,312,374,686
 Temporary Registration Card (white),77,268,345
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,2,33,35
 None,5946,53633,59579
 Child under 10 years,3909,31703,35612
 Total,22944,146264,169208
AREA # 110204,Myebon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5367,49502,54869
 Associate Scrutiny Card (blue),1,33,34
 Naturalised Scrutiny Card (green),22,106,128
 National Registration Card (3-fold),90,275,365
 Religious card,54,235,289
 Temporary Registration Card (white),667,298,965
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,2,31,33
 None,2944,46614,49558
 Child under 10 years,2419,28532,30951
 Total,11566,125627,137193
AREA # 110301,Maungtaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7082,11842,18924
 Associate Scrutiny Card (blue),14,7,21
 Naturalised Scrutiny Card (green),567,1078,1645
 National Registration Card (3-fold),23,178,201
 Religious card,72,66,138
 Temporary Registration Card (white),178,1018,1196
 Foreign Registration Card (FRC),1,9,10
 Foreign Passport,7,16,23
 None,1864,6080,7944
 Child under 10 years,1934,6163,8097
 Total,11742,26457,38199
AREA # 110302,Buthidaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5565,20526,26091
 Associate Scrutiny Card (blue),3,13,16
 Naturalised Scrutiny Card (green),420,35,455
 National Registration Card (3-fold),18,67,85
 Religious card,79,116,195
 Temporary Registration Card (white),219,1022,1241
 Foreign Registration Card (FRC),10,54,64
 Foreign Passport,6,13,19
 None,1604,13124,14728
 Child under 10 years,1788,10863,12651
 Total,9712,45833,55545
AREA # 110351,Taungpyoletwe(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),265,743,1008
 Naturalised Scrutiny Card (green),14,12,26
 National Registration Card (3-fold),2,5,7
 Religious card,-,1,1
 Temporary Registration Card (white),137,115,252
 Foreign Registration Card (FRC),27,-,27
 None,94,488,582
 Child under 10 years,188,495,683
 Total,727,1859,2586
AREA # 110401,Kyaukpyu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14109,66091,80200
 Associate Scrutiny Card (blue),7,43,50
 Naturalised Scrutiny Card (green),26,86,112
 National Registration Card (3-fold),40,618,658
 Religious card,102,430,532
 Temporary Registration Card (white),97,292,389
 Foreign Registration Card (FRC),7,-,7
 Foreign Passport,10,669,679
 None,3709,47342,51051
 Child under 10 years,2759,28915,31674
 Total,20866,144486,165352
AREA # 110402,Mannaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4007,36123,40130
 Associate Scrutiny Card (blue),1,14,15
 Naturalised Scrutiny Card (green),1,40,41
 National Registration Card (3-fold),6,158,164
 Religious card,21,196,217
 Temporary Registration Card (white),-,172,172
 Foreign Passport,2,2,4
 None,477,7631,8108
 Child under 10 years,731,7384,8115
 Total,5246,51720,56966
AREA # 110403,Yanbye,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6238,46336,52574
 Associate Scrutiny Card (blue),1,15,16
 Naturalised Scrutiny Card (green),2,45,47
 National Registration Card (3-fold),15,1239,1254
 Religious card,38,362,400
 Temporary Registration Card (white),4,355,359
 Foreign Passport,-,21,21
 None,2012,23431,25443
 Child under 10 years,1564,16213,17777
 Total,9874,88017,97891
AREA # 110404,An,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5736,48901,54637
 Associate Scrutiny Card (blue),7,36,43
 Naturalised Scrutiny Card (green),2,50,52
 National Registration Card (3-fold),1,190,191
 Religious card,50,205,255
 Temporary Registration Card (white),13,216,229
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,3,151,154
 None,1079,36510,37589
 Child under 10 years,1623,24939,26562
 Total,8514,111200,119714
AREA # 110501,Thandwe,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9305,67673,76978
 Associate Scrutiny Card (blue),5,27,32
 Naturalised Scrutiny Card (green),38,175,213
 National Registration Card (3-fold),466,2911,3377
 Religious card,50,418,468
 Temporary Registration Card (white),421,1306,1727
 Foreign Registration Card (FRC),-,6,6
 Foreign Passport,1,470,471
 None,2324,27927,30251
 Child under 10 years,1717,18244,19961
 Total,14327,119157,133484
AREA # 110502,Toungup,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),19472,44718,64190
 Associate Scrutiny Card (blue),4,33,37
 Naturalised Scrutiny Card (green),22,44,66
 National Registration Card (3-fold),57,272,329
 Religious card,115,208,323
 Temporary Registration Card (white),39,395,434
 Foreign Registration Card (FRC),18,1,19
 Foreign Passport,6,15,21
 None,4626,23858,28484
 Child under 10 years,4293,16241,20534
 Total,28652,85785,114437
AREA # 110503,Gwa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6158,19783,25941
 Associate Scrutiny Card (blue),2,4,6
 Naturalised Scrutiny Card (green),6,64,70
 National Registration Card (3-fold),31,267,298
 Religious card,27,106,133
 Temporary Registration Card (white),17,367,384
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,2,25,27
 None,1798,7176,8974
 Child under 10 years,1469,5129,6598
 Total,9510,32924,42434
AREA # 110551,Maei(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2411,15677,18088
 Associate Scrutiny Card (blue),6,15,21
 Naturalised Scrutiny Card (green),3,33,36
 National Registration Card (3-fold),15,121,136
 Religious card,13,97,110
 Temporary Registration Card (white),13,62,75
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,1,38,39
 None,1898,14460,16358
 Child under 10 years,1075,7963,9038
 Total,5435,38469,43904
AREA # 110552,Kyeintali(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3861,11133,14994
 Associate Scrutiny Card (blue),3,2,5
 Naturalised Scrutiny Card (green),3,20,23
 National Registration Card (3-fold),28,211,239
 Religious card,20,55,75
 Temporary Registration Card (white),14,71,85
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,-,1,1
 None,1124,3765,4889
 Child under 10 years,824,2444,3268
 Total,5878,17703,23581
AREA # 120101,Insein,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),202895,-,202895
 Associate Scrutiny Card (blue),230,-,230
 Naturalised Scrutiny Card (green),1457,-,1457
 National Registration Card (3-fold),7982,-,7982
 Religious card,1926,-,1926
 Temporary Registration Card (white),2051,-,2051
 Foreign Registration Card (FRC),193,-,193
 Foreign Passport,337,-,337
 None,48116,-,48116
 Child under 10 years,40096,-,40096
 Total,305283,-,305283
AREA # 120102,Mingaladon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),129844,78574,208418
 Associate Scrutiny Card (blue),143,62,205
 Naturalised Scrutiny Card (green),894,413,1307
 National Registration Card (3-fold),5878,3875,9753
 Religious card,1199,2660,3859
 Temporary Registration Card (white),1206,922,2128
 Foreign Registration Card (FRC),53,71,124
 Foreign Passport,293,120,413
 None,30815,27073,57888
 Child under 10 years,28071,19420,47491
 Total,198396,133190,331586
AREA # 120103,Hmawby,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15247,113536,128783
 Associate Scrutiny Card (blue),59,95,154
 Naturalised Scrutiny Card (green),72,538,610
 National Registration Card (3-fold),1118,9488,10606
 Religious card,377,1599,1976
 Temporary Registration Card (white),127,1636,1763
 Foreign Registration Card (FRC),17,110,127
 Foreign Passport,14,198,212
 None,5158,53290,58448
 Child under 10 years,3771,38157,41928
 Total,25960,218647,244607
AREA # 120104,Hlegu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),23562,110362,133924
 Associate Scrutiny Card (blue),21,93,114
 Naturalised Scrutiny Card (green),227,930,1157
 National Registration Card (3-fold),1703,11018,12721
 Religious card,403,1459,1862
 Temporary Registration Card (white),540,1857,2397
 Foreign Registration Card (FRC),2,15,17
 Foreign Passport,11,57,68
 None,7742,60986,68728
 Child under 10 years,5867,43886,49753
 Total,40078,230663,270741
AREA # 120105,Taikkyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),45137,86464,131601
 Associate Scrutiny Card (blue),306,30,336
 Naturalised Scrutiny Card (green),428,581,1009
 National Registration Card (3-fold),3248,8368,11616
 Religious card,508,646,1154
 Temporary Registration Card (white),614,682,1296
 Foreign Registration Card (FRC),164,76,240
 Foreign Passport,43,24,67
 None,22371,56787,79158
 Child under 10 years,15181,35610,50791
 Total,88000,189268,277268
AREA # 120106,Htantabin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5503,66837,72340
 Associate Scrutiny Card (blue),12,36,48
 Naturalised Scrutiny Card (green),88,220,308
 National Registration Card (3-fold),137,4667,4804
 Religious card,66,392,458
 Temporary Registration Card (white),31,212,243
 Foreign Registration Card (FRC),8,1,9
 Foreign Passport,2,21,23
 None,1543,37983,39526
 Child under 10 years,1629,26404,28033
 Total,9019,136773,145792
AREA # 120107,Shwepyitha,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),156584,35430,192014
 Associate Scrutiny Card (blue),168,21,189
 Naturalised Scrutiny Card (green),1453,230,1683
 National Registration Card (3-fold),13403,2173,15576
 Religious card,1194,264,1458
 Temporary Registration Card (white),3911,688,4599
 Foreign Registration Card (FRC),174,28,202
 Foreign Passport,73,10,83
 None,58647,14484,73131
 Child under 10 years,44188,10403,54591
 Total,279795,63731,343526
AREA # 120108,Hlinethaya,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),267499,105512,373011
 Associate Scrutiny Card (blue),341,138,479
 Naturalised Scrutiny Card (green),2229,794,3023
 National Registration Card (3-fold),28152,10967,39119
 Religious card,1180,763,1943
 Temporary Registration Card (white),7260,2359,9619
 Foreign Registration Card (FRC),115,34,149
 Foreign Passport,447,372,819
 None,100985,50229,151214
 Child under 10 years,73920,34571,108491
 Total,482128,205739,687867
AREA # 120201,Thingangyun,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),133715,-,133715
 Associate Scrutiny Card (blue),356,-,356
 Naturalised Scrutiny Card (green),3508,-,3508
 National Registration Card (3-fold),8267,-,8267
 Religious card,2380,-,2380
 Temporary Registration Card (white),4985,-,4985
 Foreign Registration Card (FRC),241,-,241
 Foreign Passport,360,-,360
 None,30545,-,30545
 Child under 10 years,25129,-,25129
 Total,209486,-,209486
AREA # 120202,Yankin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),51119,-,51119
 Associate Scrutiny Card (blue),204,-,204
 Naturalised Scrutiny Card (green),1194,-,1194
 National Registration Card (3-fold),812,-,812
 Religious card,1119,-,1119
 Temporary Registration Card (white),567,-,567
 Foreign Registration Card (FRC),151,-,151
 Foreign Passport,884,-,884
 None,7396,-,7396
 Child under 10 years,7500,-,7500
 Total,70946,-,70946
AREA # 120203,South Okkalapa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),117118,-,117118
 Associate Scrutiny Card (blue),225,-,225
 Naturalised Scrutiny Card (green),796,-,796
 National Registration Card (3-fold),2538,-,2538
 Religious card,1791,-,1791
 Temporary Registration Card (white),1227,-,1227
 Foreign Registration Card (FRC),96,-,96
 Foreign Passport,120,-,120
 None,20304,-,20304
 Child under 10 years,16911,-,16911
 Total,161126,-,161126
AREA # 120204,North Okkalapa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),217540,-,217540
 Associate Scrutiny Card (blue),339,-,339
 Naturalised Scrutiny Card (green),1593,-,1593
 National Registration Card (3-fold),7448,-,7448
 Religious card,2407,-,2407
 Temporary Registration Card (white),5165,-,5165
 Foreign Registration Card (FRC),160,-,160
 Foreign Passport,202,-,202
 None,56207,-,56207
 Child under 10 years,42232,-,42232
 Total,333293,-,333293
AREA # 120205,Thakayta,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),145927,-,145927
 Associate Scrutiny Card (blue),195,-,195
 Naturalised Scrutiny Card (green),1845,-,1845
 National Registration Card (3-fold),7725,-,7725
 Religious card,1677,-,1677
 Temporary Registration Card (white),3379,-,3379
 Foreign Registration Card (FRC),87,-,87
 Foreign Passport,140,-,140
 None,32655,-,32655
 Child under 10 years,26926,-,26926
 Total,220556,-,220556
AREA # 120206,Dawbon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),44478,-,44478
 Associate Scrutiny Card (blue),66,-,66
 Naturalised Scrutiny Card (green),1930,-,1930
 National Registration Card (3-fold),2997,-,2997
 Religious card,387,-,387
 Temporary Registration Card (white),1100,-,1100
 Foreign Registration Card (FRC),46,-,46
 Foreign Passport,15,-,15
 None,13231,-,13231
 Child under 10 years,11075,-,11075
 Total,75325,-,75325
AREA # 120207,Tamway,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),121957,-,121957
 Associate Scrutiny Card (blue),579,-,579
 Naturalised Scrutiny Card (green),1206,-,1206
 National Registration Card (3-fold),4781,-,4781
 Religious card,1383,-,1383
 Temporary Registration Card (white),557,-,557
 Foreign Registration Card (FRC),181,-,181
 Foreign Passport,774,-,774
 None,16570,-,16570
 Child under 10 years,17325,-,17325
 Total,165313,-,165313
AREA # 120208,Pazuntaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),35978,-,35978
 Associate Scrutiny Card (blue),460,-,460
 Naturalised Scrutiny Card (green),751,-,751
 National Registration Card (3-fold),1017,-,1017
 Religious card,445,-,445
 Temporary Registration Card (white),201,-,201
 Foreign Registration Card (FRC),172,-,172
 Foreign Passport,309,-,309
 None,4367,-,4367
 Child under 10 years,4755,-,4755
 Total,48455,-,48455
AREA # 120209,Botahtaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),30218,-,30218
 Associate Scrutiny Card (blue),261,-,261
 Naturalised Scrutiny Card (green),513,-,513
 National Registration Card (3-fold),1043,-,1043
 Religious card,248,-,248
 Temporary Registration Card (white),227,-,227
 Foreign Registration Card (FRC),157,-,157
 Foreign Passport,322,-,322
 None,3771,-,3771
 Child under 10 years,4235,-,4235
 Total,40995,-,40995
AREA # 120210,Dagon Myothit(South),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),207939,-,207939
 Associate Scrutiny Card (blue),291,-,291
 Naturalised Scrutiny Card (green),3454,-,3454
 National Registration Card (3-fold),15583,-,15583
 Religious card,1559,-,1559
 Temporary Registration Card (white),7810,-,7810
 Foreign Registration Card (FRC),108,-,108
 Foreign Passport,109,-,109
 None,75935,-,75935
 Child under 10 years,58858,-,58858
 Total,371646,-,371646
AREA # 120211,Dagon Myothit(North),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),142123,-,142123
 Associate Scrutiny Card (blue),114,-,114
 Naturalised Scrutiny Card (green),573,-,573
 National Registration Card (3-fold),4102,-,4102
 Religious card,872,-,872
 Temporary Registration Card (white),1901,-,1901
 Foreign Registration Card (FRC),43,-,43
 Foreign Passport,138,-,138
 None,28844,-,28844
 Child under 10 years,25238,-,25238
 Total,203948,-,203948
AREA # 120212,Dagon Myothit(East),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),87877,4134,92011
 Associate Scrutiny Card (blue),90,2,92
 Naturalised Scrutiny Card (green),500,95,595
 National Registration Card (3-fold),4148,360,4508
 Religious card,1256,199,1455
 Temporary Registration Card (white),1996,98,2094
 Foreign Registration Card (FRC),143,-,143
 Foreign Passport,50,-,50
 None,36492,2734,39226
 Child under 10 years,23692,1762,25454
 Total,156244,9384,165628
AREA # 120213,Dagon Myothit(Seik),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),81717,7357,89074
 Associate Scrutiny Card (blue),114,2,116
 Naturalised Scrutiny Card (green),944,24,968
 National Registration Card (3-fold),6360,1032,7392
 Religious card,494,51,545
 Temporary Registration Card (white),2026,175,2201
 Foreign Registration Card (FRC),16,-,16
 Foreign Passport,93,6,99
 None,33317,5193,38510
 Child under 10 years,24995,3532,28527
 Total,150076,17372,167448
AREA # 120214,Mingala Taungnyunt,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),89113,-,89113
 Associate Scrutiny Card (blue),529,-,529
 Naturalised Scrutiny Card (green),2174,-,2174
 National Registration Card (3-fold),5237,-,5237
 Religious card,841,-,841
 Temporary Registration Card (white),1261,-,1261
 Foreign Registration Card (FRC),277,-,277
 Foreign Passport,410,-,410
 None,15989,-,15989
 Child under 10 years,16663,-,16663
 Total,132494,-,132494
AREA # 120301,Thanlyin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),51902,94193,146095
 Associate Scrutiny Card (blue),104,110,214
 Naturalised Scrutiny Card (green),1623,3807,5430
 National Registration Card (3-fold),2499,3819,6318
 Religious card,994,936,1930
 Temporary Registration Card (white),434,870,1304
 Foreign Registration Card (FRC),40,7,47
 Foreign Passport,46,55,101
 None,16733,45997,62730
 Child under 10 years,11690,32204,43894
 Total,86065,181998,268063
AREA # 120302,Kyauktan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),24283,46965,71248
 Associate Scrutiny Card (blue),94,53,147
 Naturalised Scrutiny Card (green),1251,2253,3504
 National Registration Card (3-fold),432,882,1314
 Religious card,191,499,690
 Temporary Registration Card (white),135,98,233
 Foreign Registration Card (FRC),18,3,21
 Foreign Passport,76,12,88
 None,10231,23961,34192
 Child under 10 years,6067,15261,21328
 Total,42778,89987,132765
AREA # 120303,Thongwa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),17321,70484,87805
 Associate Scrutiny Card (blue),31,49,80
 Naturalised Scrutiny Card (green),804,2112,2916
 National Registration Card (3-fold),260,1069,1329
 Religious card,173,405,578
 Temporary Registration Card (white),177,576,753
 Foreign Registration Card (FRC),5,11,16
 Foreign Passport,2,32,34
 None,4814,31679,36493
 Child under 10 years,4431,23441,27872
 Total,28018,129858,157876
AREA # 120304,Khayan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),17683,57517,75200
 Associate Scrutiny Card (blue),15,36,51
 Naturalised Scrutiny Card (green),423,687,1110
 National Registration Card (3-fold),1883,5943,7826
 Religious card,218,328,546
 Temporary Registration Card (white),193,321,514
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,4,22,26
 None,7081,36924,44005
 Child under 10 years,5477,23261,28738
 Total,32977,125042,158019
AREA # 120305,Twantay,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),25527,97427,122954
 Associate Scrutiny Card (blue),19,43,62
