Activity_status,Sex_Male,Sex_Female,Sex_Total
 Full time student,8614,9820,18434
 Household work,333,5827,6160
" Pensioner, retired, elderly person",2831,3918,6749
" Ill, disabled",948,769,1717
 Other,2791,867,3658
 Total,64708,72600,137308
NotApp :,33228,*,*
AREA # 100105,Mudon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1772,2669,4441
" Employee (Private, Org)",22218,11158,33376
 Employer,4417,1700,6117
 Own account worker,15835,10454,26289
 Contributing family worker,3521,3893,7414
 Sought work,4246,2983,7229
 Did not seek work,974,676,1650
 Full time student,8599,10284,18883
 Household work,1032,32269,33301
" Pensioner, retired, elderly person",3961,5095,9056
" Ill, disabled",992,841,1833
 Other,4869,1819,6688
 Total,72436,83841,156277
NotApp :,34460,*,*
AREA # 100106,Ye,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2020,1033,3053
" Employee (Private, Org)",16646,5195,21841
 Employer,1547,453,2000
 Own account worker,17706,8456,26162
 Contributing family worker,3697,3491,7188
 Sought work,2378,1466,3844
 Did not seek work,1143,616,1759
 Full time student,8076,9001,17077
 Household work,886,27005,27891
" Pensioner, retired, elderly person",2439,3241,5680
" Ill, disabled",665,552,1217
 Other,3703,1559,5262
 Total,60906,62068,122974
NotApp :,29511,*,*
AREA # 100151,Lamine,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),603,480,1083
" Employee (Private, Org)",5924,2140,8064
 Employer,1448,319,1767
 Own account worker,9099,4374,13473
 Contributing family worker,1011,1194,2205
 Sought work,2664,950,3614
 Did not seek work,555,316,871
 Full time student,4758,5393,10151
 Household work,405,17871,18276
" Pensioner, retired, elderly person",2066,2744,4810
" Ill, disabled",524,435,959
 Other,2479,717,3196
 Total,31536,36933,68469
NotApp :,20007,*,*
AREA # 100152,Khawzar,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),415,69,484
" Employee (Private, Org)",1265,480,1745
 Employer,221,71,292
 Own account worker,3848,2175,6023
 Contributing family worker,383,409,792
 Sought work,283,124,407
 Did not seek work,107,40,147
 Full time student,1109,1301,2410
 Household work,223,3966,4189
" Pensioner, retired, elderly person",367,495,862
" Ill, disabled",73,72,145
 Other,538,149,687
 Total,8832,9351,18183
NotApp :,4480,*,*
AREA # 100201,Thaton,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3733,2731,6464
" Employee (Private, Org)",24704,8745,33449
 Employer,3489,1020,4509
 Own account worker,18526,10592,29118
 Contributing family worker,4038,3884,7922
 Sought work,3329,2078,5407
 Did not seek work,901,544,1445
 Full time student,13577,14637,28214
 Household work,1497,40349,41846
" Pensioner, retired, elderly person",4898,6246,11144
" Ill, disabled",1091,913,2004
 Other,11147,5261,16408
 Total,90930,97000,187930
NotApp :,50176,*,*
AREA # 100202,Paung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1545,2179,3724
" Employee (Private, Org)",20689,4361,25050
 Employer,4307,894,5201
 Own account worker,16466,7169,23635
 Contributing family worker,3839,3638,7477
 Sought work,4472,2363,6835
 Did not seek work,1000,756,1756
 Full time student,12296,13176,25472
 Household work,1402,43775,45177
" Pensioner, retired, elderly person",4748,6009,10757
" Ill, disabled",1129,909,2038
 Other,10312,5541,15853
 Total,82205,90770,172975
NotApp :,45484,*,*
AREA # 100203,Kyaikto,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3230,2007,5237
" Employee (Private, Org)",20070,9009,29079
 Employer,2165,967,3132
 Own account worker,18719,12948,31667
 Contributing family worker,3379,3709,7088
 Sought work,1647,984,2631
 Did not seek work,372,231,603
 Full time student,10479,11238,21717
 Household work,921,27141,28062
" Pensioner, retired, elderly person",3384,4732,8116
" Ill, disabled",659,496,1155
 Other,5638,2109,7747
 Total,70663,75571,146234
NotApp :,38298,*,*
AREA # 100204,Bilin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1722,1810,3532
" Employee (Private, Org)",15303,6692,21995
 Employer,2748,664,3412
 Own account worker,18231,9977,28208
 Contributing family worker,4575,5499,10074
 Sought work,2099,1376,3475
 Did not seek work,338,191,529
 Full time student,10260,11247,21507
 Household work,899,27516,28415
" Pensioner, retired, elderly person",3053,4388,7441
" Ill, disabled",706,570,1276
 Other,8138,4097,12235
 Total,68072,74027,142099
NotApp :,38976,*,*
AREA # 110101,Sittway,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),7178,4168,11346
" Employee (Private, Org)",11498,4750,16248
 Employer,1834,787,2621
 Own account worker,11831,6910,18741
 Contributing family worker,1696,1863,3559
 Sought work,3570,2770,6340
 Did not seek work,854,565,1419
 Full time student,10824,10420,21244
 Household work,839,27022,27861
" Pensioner, retired, elderly person",3151,4208,7359
" Ill, disabled",368,323,691
 Other,4732,2214,6946
 Total,58375,66000,124375
NotApp :,23524,*,*
AREA # 110102,Ponnagyun,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1101,822,1923
" Employee (Private, Org)",3712,795,4507
 Employer,2016,254,2270
 Own account worker,13318,3680,16998
 Contributing family worker,2807,3072,5879
 Sought work,4641,3163,7804
 Did not seek work,571,510,1081
 Full time student,8865,8094,16959
 Household work,1108,28413,29521
" Pensioner, retired, elderly person",2128,3608,5736
" Ill, disabled",281,295,576
 Other,6022,4100,10122
 Total,46570,56806,103376
NotApp :,26377,*,*
AREA # 110103,Pauktaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),891,803,1694
" Employee (Private, Org)",11434,2645,14079
 Employer,4043,533,4576
 Own account worker,12023,3881,15904
 Contributing family worker,2869,4755,7624
 Sought work,4500,3796,8296
 Did not seek work,902,729,1631
 Full time student,9060,8205,17265
 Household work,1128,30842,31970
" Pensioner, retired, elderly person",1872,3402,5274
" Ill, disabled",301,339,640
 Other,3775,2819,6594
 Total,52798,62749,115547
NotApp :,30410,*,*
AREA # 110104,Yethedaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1612,909,2521
" Employee (Private, Org)",3678,1455,5133
 Employer,2746,785,3531
 Own account worker,7668,2873,10541
 Contributing family worker,3034,4840,7874
 Sought work,3477,2636,6113
 Did not seek work,656,622,1278
 Full time student,8418,7560,15978
 Household work,694,21344,22038
" Pensioner, retired, elderly person",1860,3546,5406
" Ill, disabled",331,469,800
 Other,3966,3403,7369
 Total,38140,50442,88582
NotApp :,23392,*,*
AREA # 110201,Myauk U,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2037,1090,3127
" Employee (Private, Org)",18044,6622,24666
 Employer,6133,1164,7297
 Own account worker,13752,7935,21687
 Contributing family worker,3550,6783,10333
 Sought work,5485,4363,9848
 Did not seek work,802,802,1604
 Full time student,11771,10585,22356
 Household work,807,37000,37807
" Pensioner, retired, elderly person",2780,5156,7936
" Ill, disabled",530,588,1118
 Other,2634,1386,4020
 Total,68325,83474,151799
NotApp :,37831,*,*
AREA # 110202,Kyauktaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2572,1343,3915
" Employee (Private, Org)",7967,3611,11578
 Employer,4405,1183,5588
 Own account worker,16318,6998,23316
 Contributing family worker,4769,10631,15400
 Sought work,3465,2980,6445
 Did not seek work,630,571,1201
 Full time student,11801,11383,23184
 Household work,928,29922,30850
" Pensioner, retired, elderly person",2631,4896,7527
" Ill, disabled",354,447,801
 Other,4628,3907,8535
 Total,60468,77872,138340
NotApp :,34760,*,*
AREA # 110203,Minbya,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2403,965,3368
" Employee (Private, Org)",10818,3693,14511
 Employer,4085,856,4941
 Own account worker,13631,4920,18551
 Contributing family worker,2957,7838,10795
 Sought work,6335,6085,12420
 Did not seek work,707,857,1564
 Full time student,10134,9617,19751
 Household work,1064,27949,29013
" Pensioner, retired, elderly person",2141,3966,6107
" Ill, disabled",421,505,926
 Other,6310,5339,11649
 Total,61006,72590,133596
NotApp :,35612,*,*
AREA # 110204,Myebon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),867,701,1568
" Employee (Private, Org)",5941,2140,8081
 Employer,2777,535,3312
 Own account worker,19217,6978,26195
 Contributing family worker,2450,7316,9766
 Sought work,3242,2380,5622
 Did not seek work,626,502,1128
 Full time student,8830,8676,17506
 Household work,722,21623,22345
" Pensioner, retired, elderly person",1761,3160,4921
" Ill, disabled",333,343,676
 Other,2947,2175,5122
 Total,49713,56529,106242
NotApp :,30951,*,*
AREA # 110301,Maungtaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3035,960,3995
" Employee (Private, Org)",1640,416,2056
 Employer,571,179,750
 Own account worker,4323,1579,5902
 Contributing family worker,1147,1847,2994
 Sought work,842,444,1286
 Did not seek work,154,73,227
 Full time student,2160,1841,4001
 Household work,274,5635,5909
" Pensioner, retired, elderly person",387,537,924
" Ill, disabled",53,64,117
 Other,1023,918,1941
 Total,15609,14493,30102
NotApp :,8097,*,*
AREA # 110302,Buthidaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3793,705,4498
" Employee (Private, Org)",1582,419,2001
 Employer,795,235,1030
 Own account worker,6092,1901,7993
 Contributing family worker,1732,3017,4749
 Sought work,947,815,1762
 Did not seek work,185,237,422
 Full time student,3637,2984,6621
 Household work,298,9248,9546
" Pensioner, retired, elderly person",492,879,1371
" Ill, disabled",94,121,215
 Other,1668,1018,2686
 Total,21315,21579,42894
NotApp :,12651,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),115,40,155
" Employee (Private, Org)",61,9,70
 Employer,24,4,28
 Own account worker,391,64,455
 Contributing family worker,132,130,262
 Sought work,40,27,67
 Did not seek work,3,2,5
 Full time student,190,114,304
 Household work,10,481,491
" Pensioner, retired, elderly person",10,25,35
" Ill, disabled",3,5,8
 Other,13,10,23
 Total,992,911,1903
NotApp :,683,*,*
AREA # 110401,Kyaukpyu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3056,1676,4732
" Employee (Private, Org)",9671,3981,13652
 Employer,1674,581,2255
 Own account worker,23784,10675,34459
 Contributing family worker,2682,5531,8213
 Sought work,3384,2520,5904
 Did not seek work,669,565,1234
 Full time student,10555,9917,20472
 Household work,687,27404,28091
" Pensioner, retired, elderly person",3144,5547,8691
" Ill, disabled",414,514,928
 Other,2941,2106,5047
 Total,62661,71017,133678
NotApp :,31674,*,*
AREA # 110402,Mannaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),616,718,1334
" Employee (Private, Org)",1439,289,1728
 Employer,687,211,898
 Own account worker,8885,2780,11665
 Contributing family worker,1542,2956,4498
 Sought work,753,663,1416
 Did not seek work,115,58,173
 Full time student,2541,3002,5543
 Household work,304,12331,12635
" Pensioner, retired, elderly person",1707,2709,4416
" Ill, disabled",191,211,402
 Other,2084,2059,4143
 Total,20864,27987,48851
NotApp :,8115,*,*
AREA # 110403,Yanbye,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),877,940,1817
" Employee (Private, Org)",3193,1327,4520
 Employer,1243,560,1803
 Own account worker,13626,6281,19907
 Contributing family worker,3636,5731,9367
 Sought work,1927,1492,3419
 Did not seek work,381,247,628
 Full time student,5925,6191,12116
 Household work,412,15636,16048
" Pensioner, retired, elderly person",2359,4124,6483
" Ill, disabled",319,375,694
 Other,1852,1460,3312
 Total,35750,44364,80114
NotApp :,17777,*,*
AREA # 110404,An,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2840,864,3704
" Employee (Private, Org)",4784,1854,6638
 Employer,584,239,823
 Own account worker,19431,7572,27003
 Contributing family worker,2678,3275,5953
 Sought work,2448,1365,3813
 Did not seek work,384,289,673
 Full time student,6970,6573,13543
 Household work,585,20471,21056
" Pensioner, retired, elderly person",1612,2682,4294
" Ill, disabled",251,283,534
 Other,2802,2316,5118
 Total,45369,47783,93152
NotApp :,26562,*,*
AREA # 110501,Thandwe,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2409,1738,4147
" Employee (Private, Org)",14496,5052,19548
 Employer,1255,467,1722
 Own account worker,18262,6737,24999
 Contributing family worker,2635,3773,6408
 Sought work,1855,1084,2939
 Did not seek work,397,209,606
 Full time student,6577,6781,13358
 Household work,544,25691,26235
" Pensioner, retired, elderly person",3693,5437,9130
" Ill, disabled",426,391,817
 Other,2470,1144,3614
 Total,55019,58504,113523
NotApp :,19961,*,*
AREA # 110502,Toungup,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1931,1132,3063
" Employee (Private, Org)",6631,1993,8624
 Employer,805,227,1032
 Own account worker,17945,7206,25151
 Contributing family worker,2774,4902,7676
 Sought work,1975,1269,3244
 Did not seek work,551,1187,1738
 Full time student,6702,7036,13738
 Household work,449,17785,18234
" Pensioner, retired, elderly person",2661,3710,6371
" Ill, disabled",357,339,696
 Other,2499,1837,4336
 Total,45280,48623,93903
NotApp :,20534,*,*
AREA # 110503,Gwa,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),753,417,1170
" Employee (Private, Org)",4449,1012,5461
 Employer,602,203,805
 Own account worker,6030,2057,8087
 Contributing family worker,815,970,1785
 Sought work,467,305,772
 Did not seek work,43,35,78
 Full time student,2062,2123,4185
 Household work,114,8712,8826
" Pensioner, retired, elderly person",946,1227,2173
" Ill, disabled",154,136,290
 Other,1402,802,2204
 Total,17837,17999,35836
NotApp :,6598,*,*
AREA # 110551,Maei(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),235,173,408
" Employee (Private, Org)",1328,364,1692
 Employer,294,105,399
 Own account worker,7971,3225,11196
 Contributing family worker,1193,1118,2311
 Sought work,967,503,1470
 Did not seek work,133,80,213
 Full time student,2664,2487,5151
 Household work,188,7804,7992
" Pensioner, retired, elderly person",815,1351,2166
" Ill, disabled",97,105,202
 Other,1066,600,1666
 Total,16951,17915,34866
NotApp :,9038,*,*
AREA # 110552,Kyeintali(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),244,243,487
" Employee (Private, Org)",2618,576,3194
 Employer,577,126,703
 Own account worker,2887,940,3827
 Contributing family worker,666,1137,1803
 Sought work,442,276,718
 Did not seek work,34,14,48
 Full time student,1112,1192,2304
 Household work,62,4495,4557
" Pensioner, retired, elderly person",702,1219,1921
" Ill, disabled",92,96,188
 Other,384,179,563
 Total,9820,10493,20313
NotApp :,3268,*,*
AREA # 120101,Insein,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),8887,7170,16057
" Employee (Private, Org)",47766,29048,76814
 Employer,2365,1087,3452
 Own account worker,20903,16308,37211
 Contributing family worker,2598,2597,5195
 Sought work,3977,2275,6252
 Did not seek work,704,352,1056
 Full time student,18994,19322,38316
 Household work,1330,46474,47804
" Pensioner, retired, elderly person",8680,9804,18484
" Ill, disabled",1053,880,1933
 Other,8504,4109,12613
 Total,125761,139426,265187
NotApp :,40096,*,*
AREA # 120102,Mingaladon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),16087,5860,21947
" Employee (Private, Org)",50992,37399,88391
 Employer,2029,1100,3129
 Own account worker,19237,14845,34082
 Contributing family worker,2438,2880,5318
 Sought work,3577,1965,5542
 Did not seek work,891,575,1466
 Full time student,19524,19402,38926
 Household work,1561,52670,54231
" Pensioner, retired, elderly person",8282,7441,15723
" Ill, disabled",934,724,1658
 Other,8510,5172,13682
 Total,134062,150033,284095
NotApp :,47491,*,*
AREA # 120103,Hmawby,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),8500,3389,11889
" Employee (Private, Org)",32795,17519,50314
 Employer,2015,740,2755
 Own account worker,20592,11976,32568
 Contributing family worker,3484,5061,8545
 Sought work,2630,1439,4069
 Did not seek work,573,258,831
 Full time student,14788,14525,29313
 Household work,1141,38448,39589
" Pensioner, retired, elderly person",5432,5927,11359
" Ill, disabled",782,649,1431
 Other,6997,3019,10016
 Total,99729,102950,202679
NotApp :,41928,*,*
AREA # 120104,Hlegu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),9416,3132,12548
" Employee (Private, Org)",34985,19986,54971
 Employer,3009,904,3913
 Own account worker,20417,9759,30176
 Contributing family worker,3366,3357,6723
 Sought work,2604,1432,4036
 Did not seek work,512,314,826
 Full time student,15812,16081,31893
 Household work,1277,45135,46412
" Pensioner, retired, elderly person",5076,6011,11087
" Ill, disabled",938,763,1701
 Other,11436,5266,16702
 Total,108848,112140,220988
NotApp :,49753,*,*
AREA # 120105,Taikkyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4516,2732,7248
" Employee (Private, Org)",35368,16736,52104
 Employer,5469,1712,7181
 Own account worker,23706,10636,34342
 Contributing family worker,6191,7267,13458
 Sought work,2788,1772,4560
 Did not seek work,509,316,825
 Full time student,14456,14113,28569
 Household work,1159,48888,50047
" Pensioner, retired, elderly person",4350,7103,11453
" Ill, disabled",780,805,1585
 Other,9590,5515,15105
 Total,108882,117595,226477
NotApp :,50791,*,*
AREA # 120106,Htantabin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),854,845,1699
" Employee (Private, Org)",20294,11996,32290
 Employer,2459,600,3059
 Own account worker,13358,5312,18670
 Contributing family worker,3313,4540,7853
 Sought work,976,662,1638
 Did not seek work,253,149,402
 Full time student,7965,7564,15529
 Household work,687,23561,24248
" Pensioner, retired, elderly person",2125,2940,5065
" Ill, disabled",470,434,904
 Other,4726,1676,6402
 Total,57480,60279,117759
NotApp :,28033,*,*
AREA # 120107,Shwepyitha,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),5466,3208,8674
" Employee (Private, Org)",62996,38934,101930
 Employer,2330,1199,3529
 Own account worker,21760,16074,37834
 Contributing family worker,2027,3364,5391
 Sought work,3925,2240,6165
 Did not seek work,751,527,1278
 Full time student,19767,19184,38951
 Household work,1549,53307,54856
" Pensioner, retired, elderly person",8445,9291,17736
" Ill, disabled",1214,932,2146
 Other,6523,3922,10445
 Total,136753,152182,288935
NotApp :,54591,*,*
AREA # 120108,Hlinethaya,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4837,3889,8726
" Employee (Private, Org)",149382,108036,257418
 Employer,5253,2753,8006
 Own account worker,35909,27171,63080
 Contributing family worker,3775,4145,7920
 Sought work,6015,3036,9051
 Did not seek work,1653,994,2647
 Full time student,32146,31444,63590
 Household work,3491,107555,111046
" Pensioner, retired, elderly person",11234,13189,24423
" Ill, disabled",2174,1437,3611
 Other,12145,7713,19858
 Total,268014,311362,579376
NotApp :,108491,*,*
AREA # 120201,Thingangyun,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3006,4348,7354
" Employee (Private, Org)",28399,15281,43680
 Employer,2358,1075,3433
 Own account worker,16461,9921,26382
 Contributing family worker,1506,1474,2980
 Sought work,2769,1430,4199
 Did not seek work,512,224,736
 Full time student,13677,13402,27079
 Household work,1055,38228,39283
" Pensioner, retired, elderly person",6979,7952,14931
" Ill, disabled",636,545,1181
 Other,8496,4623,13119
 Total,85854,98503,184357
NotApp :,25129,*,*
AREA # 120202,Yankin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2381,2625,5006
" Employee (Private, Org)",9492,6496,15988
 Employer,837,384,1221
 Own account worker,4479,3103,7582
 Contributing family worker,553,519,1072
 Sought work,1047,656,1703
 Did not seek work,214,120,334
 Full time student,4414,4542,8956
 Household work,331,11471,11802
" Pensioner, retired, elderly person",2659,3381,6040
" Ill, disabled",231,205,436
 Other,2317,989,3306
 Total,28955,34491,63446
NotApp :,7500,*,*
AREA # 120203,South Okkalapa,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2567,3791,6358
" Employee (Private, Org)",22580,13433,36013
 Employer,1824,802,2626
 Own account worker,13492,8643,22135
 Contributing family worker,1229,1189,2418
 Sought work,2843,1437,4280
 Did not seek work,573,207,780
 Full time student,10363,10121,20484
 Household work,811,28395,29206
" Pensioner, retired, elderly person",6214,7279,13493
" Ill, disabled",590,496,1086
 Other,3867,1469,5336
 Total,66953,77262,144215
NotApp :,16911,*,*
AREA # 120204,North Okkalapa,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4930,5806,10736
" Employee (Private, Org)",48629,32818,81447
 Employer,3254,1453,4707
 Own account worker,28906,20490,49396
 Contributing family worker,2523,2750,5273
 Sought work,4825,2555,7380
 Did not seek work,821,376,1197
 Full time student,20375,20572,40947
 Household work,1784,53557,55341
" Pensioner, retired, elderly person",10194,10920,21114
" Ill, disabled",1362,1087,2449
 Other,7237,3837,11074
 Total,134840,156221,291061
NotApp :,42232,*,*
AREA # 120205,Thakayta,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4651,4479,9130
" Employee (Private, Org)",34324,16223,50547
 Employer,2012,793,2805
 Own account worker,17849,12665,30514
 Contributing family worker,1909,2021,3930
 Sought work,3966,1798,5764
 Did not seek work,767,325,1092
 Full time student,13805,13514,27319
 Household work,1116,38335,39451
" Pensioner, retired, elderly person",6882,7164,14046
" Ill, disabled",991,732,1723
 Other,5111,2198,7309
 Total,93383,100247,193630
NotApp :,26926,*,*
AREA # 120206,Dawbon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1183,932,2115
" Employee (Private, Org)",12287,5165,17452
 Employer,556,196,752
 Own account worker,6142,4071,10213
 Contributing family worker,580,501,1081
 Sought work,1186,395,1581
 Did not seek work,193,53,246
 Full time student,4456,4508,8964
 Household work,643,14373,15016
" Pensioner, retired, elderly person",1984,1983,3967
" Ill, disabled",316,226,542
 Other,1644,677,2321
 Total,31170,33080,64250
NotApp :,11075,*,*
AREA # 120207,Tamway,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2522,3929,6451
" Employee (Private, Org)",19723,14874,34597
 Employer,2493,1217,3710
 Own account worker,13476,7217,20693
 Contributing family worker,2685,1942,4627
 Sought work,2694,1743,4437
 Did not seek work,531,356,887
 Full time student,10513,10223,20736
 Household work,868,30607,31475
" Pensioner, retired, elderly person",5971,7016,12987
" Ill, disabled",482,458,940
 Other,3785,2663,6448
 Total,65743,82245,147988
NotApp :,17325,*,*
AREA # 120208,Pazuntaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),740,1036,1776
" Employee (Private, Org)",5512,3752,9264
 Employer,923,336,1259
 Own account worker,3810,1708,5518
 Contributing family worker,878,587,1465
 Sought work,693,446,1139
 Did not seek work,263,125,388
 Full time student,2969,3026,5995
 Household work,359,9282,9641
" Pensioner, retired, elderly person",1927,2420,4347
" Ill, disabled",90,116,206
 Other,1600,1102,2702
 Total,19764,23936,43700
NotApp :,4755,*,*
AREA # 120209,Botahtaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2826,1258,4084
" Employee (Private, Org)",4717,3329,8046
 Employer,721,278,999
 Own account worker,2263,1267,3530
 Contributing family worker,498,439,937
 Sought work,540,344,884
 Did not seek work,91,41,132
 Full time student,2679,2581,5260
 Household work,307,7306,7613
" Pensioner, retired, elderly person",1320,1693,3013
" Ill, disabled",125,151,276
 Other,1226,760,1986
 Total,17313,19447,36760
NotApp :,4235,*,*
AREA # 120210,Dagon Myothit(South),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4453,3664,8117
" Employee (Private, Org)",68949,31394,100343
 Employer,2813,894,3707
 Own account worker,24571,16289,40860
 Contributing family worker,2838,3132,5970
 Sought work,4846,2313,7159
 Did not seek work,1137,529,1666
 Full time student,21208,21339,42547
 Household work,1850,66413,68263
" Pensioner, retired, elderly person",9183,10134,19317
" Ill, disabled",1507,1108,2615
 Other,7682,4542,12224
 Total,151037,161751,312788
NotApp :,58858,*,*
AREA # 120211,Dagon Myothit(North),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3417,4773,8190
" Employee (Private, Org)",29591,15950,45541
 Employer,1942,820,2762
 Own account worker,14668,9027,23695
 Contributing family worker,1563,2136,3699
 Sought work,2923,1665,4588
 Did not seek work,551,281,832
 Full time student,13411,13289,26700
 Household work,1145,35415,36560
" Pensioner, retired, elderly person",9550,8507,18057
" Ill, disabled",791,644,1435
 Other,3961,2690,6651
 Total,83513,95197,178710
NotApp :,25238,*,*
AREA # 120212,Dagon Myothit(East),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2373,2315,4688
" Employee (Private, Org)",27244,14086,41330
 Employer,1443,480,1923
 Own account worker,11810,7821,19631
 Contributing family worker,1791,1630,3421
 Sought work,1956,1037,2993
 Did not seek work,492,240,732
 Full time student,9918,9775,19693
 Household work,828,27449,28277
" Pensioner, retired, elderly person",4402,4378,8780
" Ill, disabled",694,497,1191
 Other,5103,2412,7515
 Total,68054,72120,140174
NotApp :,25454,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1631,1391,3022
" Employee (Private, Org)",34045,17120,51165
 Employer,1080,364,1444
 Own account worker,10835,7169,18004
 Contributing family worker,1356,1583,2939
 Sought work,1758,887,2645
 Did not seek work,419,181,600
 Full time student,8770,8248,17018
 Household work,876,28616,29492
" Pensioner, retired, elderly person",3222,3286,6508
" Ill, disabled",625,432,1057
 Other,3363,1664,5027
 Total,67980,70941,138921
NotApp :,28527,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4006,2579,6585
" Employee (Private, Org)",16330,9422,25752
 Employer,1778,611,2389
 Own account worker,11105,5345,16450
 Contributing family worker,2101,1416,3517
 Sought work,1937,1005,2942
 Did not seek work,319,189,508
 Full time student,8492,8171,16663
 Household work,876,26524,27400
" Pensioner, retired, elderly person",3952,4660,8612
" Ill, disabled",431,439,870
 Other,2717,1426,4143
 Total,54044,61787,115831
NotApp :,16663,*,*
AREA # 120301,Thanlyin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),8673,3840,12513
" Employee (Private, Org)",36331,16833,53164
 Employer,2425,808,3233
 Own account worker,20851,11271,32122
 Contributing family worker,3650,6311,9961
 Sought work,2821,1444,4265
 Did not seek work,729,605,1334
 Full time student,15157,14748,29905
 Household work,1544,46001,47545
" Pensioner, retired, elderly person",6302,6935,13237
" Ill, disabled",1024,1057,2081
 Other,8966,5843,14809
 Total,108473,115696,224169
NotApp :,43894,*,*
AREA # 120302,Kyauktan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1359,1198,2557
" Employee (Private, Org)",20647,7754,28401
 Employer,3356,712,4068
 Own account worker,11579,4750,16329
 Contributing family worker,2587,3930,6517
 Sought work,1818,1210,3028
 Did not seek work,360,259,619
 Full time student,7037,6742,13779
 Household work,692,27342,28034
" Pensioner, retired, elderly person",2401,3174,5575
" Ill, disabled",496,334,830
 Other,1249,451,1700
 Total,53581,57856,111437
NotApp :,21328,*,*
AREA # 120303,Thongwa,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),729,1169,1898
" Employee (Private, Org)",20144,8770,28914
 Employer,5091,1239,6330
 Own account worker,14230,4776,19006
 Contributing family worker,4131,10418,14549
 Sought work,1229,803,2032
 Did not seek work,330,176,506
 Full time student,8105,7574,15679
 Household work,563,27637,28200
" Pensioner, retired, elderly person",2387,3587,5974
" Ill, disabled",584,470,1054
 Other,3857,2005,5862
 Total,61380,68624,130004
NotApp :,27872,*,*
