Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,31,3,5,1,1,1,1,-,-,1,1,1,1,-,1,2,1,-,1,6,1,2,10,3,5,5,3,2,7,14,11,13,15,9,10,12,8,9,7,9,11,12,3,11,21,12,13,7,11,13,18,9,8,13,12,10,14,11,9,7,13,8,10,9,2,9,16,9,5,6,7,1,10,4,5,9,5,4,8,2,7,1,5,7,6,5,6,6,2,3,8,636
 Female,27,6,1,1,1,2,2,-,-,-,1,1,-,2,2,-,2,-,-,2,1,3,3,1,4,-,2,2,1,1,1,3,1,5,-,4,1,2,5,1,2,4,1,4,3,5,7,3,2,5,6,4,6,7,3,10,5,8,9,7,3,4,6,6,7,2,7,3,6,5,8,4,9,7,4,11,9,7,11,5,4,4,6,11,3,7,5,7,6,2,22,393
 Total,58,9,6,2,2,3,3,-,-,1,2,2,1,2,3,2,3,-,1,8,2,5,13,4,9,5,5,4,8,15,12,16,16,14,10,16,9,11,12,10,13,16,4,15,24,17,20,10,13,18,24,13,14,20,15,20,19,19,18,14,16,12,16,15,9,11,23,12,11,11,15,5,19,11,9,20,14,11,19,7,11,5,11,18,9,12,11,13,8,5,30,1029
AREA # 090202,Madaya,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,37,7,2,1,1,-,-,2,1,1,2,1,2,1,3,2,1,2,1,3,1,1,7,5,5,5,4,6,3,3,4,9,11,7,5,10,6,8,17,3,12,3,7,7,9,7,6,9,13,6,6,15,12,12,8,10,12,8,7,10,16,7,18,10,11,6,12,10,11,11,8,9,8,11,4,16,6,10,9,6,12,5,12,7,2,3,8,8,2,5,10,642
 Female,37,2,1,1,2,3,4,1,-,-,1,2,2,-,5,-,-,2,1,3,-,2,1,3,3,1,2,3,1,3,3,1,4,2,1,7,3,1,1,4,5,2,3,5,4,4,3,5,2,3,5,3,6,7,3,5,3,7,4,5,9,6,10,6,10,15,11,8,5,5,10,5,6,6,3,9,11,3,12,7,13,6,12,10,8,6,12,6,11,3,24,465
 Total,74,9,3,2,3,3,4,3,1,1,3,3,4,1,8,2,1,4,2,6,1,3,8,8,8,6,6,9,4,6,7,10,15,9,6,17,9,9,18,7,17,5,10,12,13,11,9,14,15,9,11,18,18,19,11,15,15,15,11,15,25,13,28,16,21,21,23,18,16,16,18,14,14,17,7,25,17,13,21,13,25,11,24,17,10,9,20,14,13,8,34,1107
AREA # 090203,Sinku,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,21,5,1,1,1,2,1,1,1,-,-,2,-,-,-,-,-,2,3,2,5,3,3,2,-,3,2,3,4,8,3,2,5,5,7,2,6,6,7,7,3,7,7,5,8,7,5,4,2,3,9,4,5,3,2,3,2,2,9,2,5,4,4,11,6,7,5,3,4,7,2,2,2,5,1,5,4,7,4,2,4,4,3,6,4,1,2,3,1,1,4,341
 Female,9,6,3,-,1,-,-,1,-,1,-,-,-,2,-,1,1,1,1,1,1,-,-,1,-,-,-,1,1,-,-,2,1,3,1,1,3,1,1,1,2,-,2,4,-,2,2,1,2,2,1,4,3,2,1,2,-,-,1,1,1,1,2,2,4,3,6,4,4,1,3,-,2,3,5,6,5,4,5,3,6,3,3,5,4,4,3,2,4,2,5,183
 Total,30,11,4,1,2,2,1,2,1,1,-,2,-,2,-,1,1,3,4,3,6,3,3,3,-,3,2,4,5,8,3,4,6,8,8,3,9,7,8,8,5,7,9,9,8,9,7,5,4,5,10,8,8,5,3,5,2,2,10,3,6,5,6,13,10,10,11,7,8,8,5,2,4,8,6,11,9,11,9,5,10,7,6,11,8,5,5,5,5,3,9,524
AREA # 090204,Mogok,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,19,8,-,3,-,1,-,1,1,-,-,-,2,2,1,2,4,1,2,3,4,3,1,3,2,3,3,3,3,7,12,9,5,9,3,4,8,14,7,7,13,6,6,13,11,8,10,11,9,4,11,11,8,10,4,10,12,10,6,10,7,5,12,9,6,9,8,8,7,5,3,4,10,8,3,10,7,4,10,3,7,9,2,4,3,2,6,4,5,1,15,539
 Female,27,1,1,-,-,-,2,1,1,1,1,-,-,-,-,2,2,1,2,2,2,1,-,2,2,1,-,1,1,1,3,1,2,1,1,2,2,2,5,2,2,2,2,3,5,4,5,3,5,2,1,5,8,4,1,6,7,6,6,6,7,3,5,5,5,9,1,6,6,4,6,4,4,8,7,13,9,6,6,3,6,8,3,7,6,8,7,5,3,2,18,349
 Total,46,9,1,3,-,1,2,2,2,1,1,-,2,2,1,4,6,2,4,5,6,4,1,5,4,4,3,4,4,8,15,10,7,10,4,6,10,16,12,9,15,8,8,16,16,12,15,14,14,6,12,16,16,14,5,16,19,16,12,16,14,8,17,14,11,18,9,14,13,9,9,8,14,16,10,23,16,10,16,6,13,17,5,11,9,10,13,9,8,3,33,888
AREA # 090205,Thabeikkyin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,29,5,1,-,-,5,2,-,1,-,-,-,1,-,1,2,2,5,2,-,1,1,3,6,-,3,2,-,2,3,3,1,4,2,4,9,7,4,5,6,5,3,11,9,5,7,6,7,8,5,2,1,7,5,1,4,7,5,2,3,4,6,5,1,3,5,7,3,3,2,3,-,-,3,3,5,-,1,3,-,2,1,-,1,-,1,3,-,1,-,3,294
 Female,23,8,1,2,1,-,-,1,4,1,-,2,-,-,1,-,-,5,2,2,2,1,1,-,-,2,1,-,2,3,2,2,1,2,-,4,-,-,2,3,1,1,5,4,1,1,2,1,4,1,1,-,4,2,3,-,4,2,3,1,1,1,-,1,2,4,-,3,1,4,2,2,1,2,3,3,3,1,2,-,2,2,1,1,2,1,2,-,3,1,7,180
 Total,52,13,2,2,1,5,2,1,5,1,-,2,1,-,2,2,2,10,4,2,3,2,4,6,-,5,3,-,4,6,5,3,5,4,4,13,7,4,7,9,6,4,16,13,6,8,8,8,12,6,3,1,11,7,4,4,11,7,5,4,5,7,5,2,5,9,7,6,4,6,5,2,1,5,6,8,3,2,5,-,4,3,1,2,2,2,5,-,4,1,10,474
AREA # 090251,Tagaung,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,8,-,2,1,1,-,1,-,1,-,2,2,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,2,-,-,1,1,-,5,-,-,1,1,1,2,1,-,-,3,-,1,3,1,2,2,2,1,-,1,2,3,2,2,2,-,2,2,1,2,-,1,1,2,1,-,1,-,-,-,1,1,1,1,2,-,1,-,-,-,1,1,1,-,1,88
 Female,7,2,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,1,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-,1,1,-,-,-,-,-,1,2,-,-,1,-,-,1,3,-,-,2,-,1,-,-,-,1,-,-,-,-,1,1,1,-,1,-,-,1,-,-,1,-,1,1,1,1,-,1,1,1,-,-,1,2,50
 Total,15,2,2,3,1,-,1,-,1,-,2,2,2,-,1,-,-,-,2,2,-,-,2,-,1,-,-,-,-,2,1,-,3,1,-,5,-,-,2,2,1,2,1,-,-,4,2,1,3,2,2,2,3,4,-,1,4,3,3,2,2,-,3,2,1,2,-,2,2,3,1,1,1,-,1,-,1,2,1,2,3,1,2,-,1,1,2,1,1,1,3,138
AREA # 090301,Kyaukse,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,39,5,3,3,1,1,1,-,1,-,1,-,1,-,3,1,2,1,2,4,4,2,4,4,6,4,4,4,2,2,6,7,5,3,4,10,12,5,8,7,9,6,10,3,13,8,14,15,14,3,11,7,6,6,5,18,10,6,10,6,6,3,6,6,8,5,8,7,7,6,3,4,13,7,8,12,10,6,9,2,4,1,5,8,9,6,2,-,2,2,16,543
 Female,28,2,5,-,1,1,1,-,-,1,1,-,-,2,-,3,1,-,1,5,3,1,2,1,3,-,3,1,3,1,3,1,5,2,-,-,5,6,3,1,5,2,8,5,4,6,4,-,8,-,6,3,6,6,6,6,10,3,4,6,6,6,3,6,8,5,5,10,4,5,8,2,11,7,3,16,3,9,14,2,9,8,9,6,6,4,4,2,4,3,19,401
 Total,67,7,8,3,2,2,2,-,1,1,2,-,1,2,3,4,3,1,3,9,7,3,6,5,9,4,7,5,5,3,9,8,10,5,4,10,17,11,11,8,14,8,18,8,17,14,18,15,22,3,17,10,12,12,11,24,20,9,14,12,12,9,9,12,16,10,13,17,11,11,11,6,24,14,11,28,13,15,23,4,13,9,14,14,15,10,6,2,6,5,35,944
AREA # 090302,Singaing,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,17,3,1,1,1,-,2,-,-,1,-,-,3,-,-,-,-,1,2,1,-,1,2,3,-,1,3,3,5,5,7,-,5,2,1,5,2,11,4,1,4,3,12,6,3,5,3,3,5,3,5,6,6,5,6,12,8,7,1,3,5,4,8,8,1,3,3,4,10,7,9,4,2,3,2,7,7,7,3,1,2,5,4,4,1,8,4,-,2,3,1,332
 Female,12,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-,1,2,1,-,2,-,-,-,1,-,3,3,-,3,1,1,-,2,2,2,-,2,-,5,2,2,2,4,2,1,2,3,1,1,2,2,3,-,3,4,5,1,4,1,7,6,7,1,5,7,6,7,7,3,9,4,6,2,1,5,2,4,1,5,6,2,14,211
 Total,29,3,1,2,1,-,2,1,-,1,-,-,3,-,-,-,1,1,2,2,1,2,2,3,1,3,4,3,7,5,7,-,6,2,4,8,2,14,5,2,4,5,14,8,3,7,3,8,7,5,7,10,8,6,8,15,9,8,3,5,8,4,11,12,6,4,7,5,17,13,16,5,7,10,8,14,14,10,12,5,8,7,5,9,3,12,5,5,8,5,15,543
AREA # 090303,Myitthar,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,31,6,-,2,2,1,4,1,-,3,2,-,2,1,3,3,2,2,4,3,-,1,3,4,1,4,-,1,2,3,3,6,2,3,5,7,8,4,7,5,8,3,11,4,6,6,8,10,7,6,10,9,8,2,3,5,7,5,6,3,4,6,11,3,6,5,8,5,5,4,9,4,4,8,3,12,1,12,9,1,3,1,5,7,14,3,6,1,2,1,6,437
 Female,27,4,-,1,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,2,1,2,2,-,2,5,-,5,-,2,2,1,2,2,2,2,-,1,1,3,2,4,3,4,5,6,4,5,4,4,2,2,2,3,4,4,3,4,4,4,5,4,6,5,3,11,2,4,3,3,6,4,11,4,9,12,3,6,6,7,9,10,8,10,3,1,2,20,323
 Total,58,10,-,3,2,1,5,1,1,3,2,-,2,1,3,4,2,3,4,3,-,1,5,5,3,6,-,3,7,3,8,6,4,5,6,9,10,6,9,5,9,4,14,6,10,9,12,15,13,10,15,13,12,4,5,7,10,9,10,6,8,10,15,8,10,11,13,8,16,6,13,7,7,14,7,23,5,21,21,4,9,7,12,16,24,11,16,4,3,3,26,760
AREA # 090304,Tada U,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,19,2,5,1,-,4,-,2,-,2,-,4,2,-,1,-,-,-,2,1,2,-,-,2,1,-,1,5,-,1,4,1,1,3,2,2,2,7,5,3,2,3,4,4,7,2,3,5,6,5,2,2,2,6,2,6,1,5,6,3,9,2,3,4,5,8,4,7,4,2,10,3,4,5,4,4,4,3,6,4,4,3,6,6,1,4,2,1,2,1,5,293
 Female,15,1,-,-,-,-,-,-,-,2,-,-,-,-,-,2,2,1,3,1,2,1,-,-,1,2,1,-,1,-,2,1,1,1,1,2,3,-,1,1,3,1,2,1,-,1,2,2,-,-,3,-,2,4,1,2,1,3,-,4,2,3,2,1,5,4,4,4,6,6,5,5,2,5,5,8,5,4,10,2,6,3,4,5,-,9,5,3,4,4,13,224
 Total,34,3,5,1,-,4,-,2,-,4,-,4,2,-,1,2,2,1,5,2,4,1,-,2,2,2,2,5,1,1,6,2,2,4,3,4,5,7,6,4,5,4,6,5,7,3,5,7,6,5,5,2,4,10,3,8,2,8,6,7,11,5,5,5,10,12,8,11,10,8,15,8,6,10,9,12,9,7,16,6,10,6,10,11,1,13,7,4,6,5,18,517
AREA # 090401,Myingyan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,45,5,3,3,3,2,1,1,-,4,1,2,1,1,1,2,1,1,6,3,2,3,2,2,3,4,1,6,7,6,5,5,4,7,7,14,5,14,5,14,17,9,4,16,18,22,8,9,11,7,5,4,7,6,14,12,11,10,13,11,8,6,9,11,12,14,17,12,9,10,20,6,15,13,13,20,12,13,20,7,10,8,11,15,10,15,6,5,4,2,13,762
 Female,19,5,4,3,2,-,2,-,-,1,5,1,1,1,-,-,2,3,1,-,-,1,4,4,3,-,1,1,2,1,1,2,1,3,2,7,-,2,2,6,5,1,9,3,4,9,4,7,3,2,5,5,4,5,9,6,9,6,3,6,10,5,4,4,7,10,7,8,9,4,15,8,9,9,4,18,13,16,20,7,13,10,11,10,9,15,12,6,10,7,34,522
 Total,64,10,7,6,5,2,3,1,-,5,6,3,2,2,1,2,3,4,7,3,2,4,6,6,6,4,2,7,9,7,6,7,5,10,9,21,5,16,7,20,22,10,13,19,22,31,12,16,14,9,10,9,11,11,23,18,20,16,16,17,18,11,13,15,19,24,24,20,18,14,35,14,24,22,17,38,25,29,40,14,23,18,22,25,19,30,18,11,14,9,47,1284
AREA # 090402,Taungtha,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,39,1,2,1,1,-,6,2,1,1,2,-,-,3,2,1,5,2,3,2,3,4,4,1,3,2,7,3,2,9,4,2,7,4,5,8,6,6,10,11,9,8,4,7,8,10,15,7,10,7,4,5,9,9,10,7,10,14,8,10,11,11,13,9,12,10,14,6,5,10,13,9,8,12,10,15,25,10,10,8,7,7,9,13,7,6,5,7,5,4,5,642
