Identity_card,Sex_Male,Sex_Female,Sex_Total
AREA # 090702,MahlYaing,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),39236,50597,89833
 Associate Scrutiny Card (blue),13,16,29
 Naturalised Scrutiny Card (green),225,169,394
 National Registration Card (3-fold),449,828,1277
 Religious card,671,35,706
 Temporary Registration Card (white),120,150,270
 Foreign Registration Card (FRC),3,1,4
 Foreign Passport,8,19,27
 None,10588,12207,22795
 Child under 10 years,12268,11824,24092
 Total,63581,75846,139427
AREA # 090703,Thazi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),55369,65078,120447
 Associate Scrutiny Card (blue),44,44,88
 Naturalised Scrutiny Card (green),147,115,262
 National Registration Card (3-fold),701,1031,1732
 Religious card,910,116,1026
 Temporary Registration Card (white),218,281,499
 Foreign Registration Card (FRC),16,10,26
 Foreign Passport,71,8,79
 None,18609,21498,40107
 Child under 10 years,19378,19036,38414
 Total,95463,107217,202680
AREA # 090704,Wundwin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),64973,77482,142455
 Associate Scrutiny Card (blue),23,37,60
 Naturalised Scrutiny Card (green),517,242,759
 National Registration Card (3-fold),1275,2153,3428
 Religious card,882,100,982
 Temporary Registration Card (white),152,181,333
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,13,17,30
 None,20240,25493,45733
 Child under 10 years,18137,17839,35976
 Total,106214,123546,229760
AREA # 100101,Mawlamyine,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),73686,86173,159859
 Associate Scrutiny Card (blue),61,119,180
 Naturalised Scrutiny Card (green),614,343,957
 National Registration Card (3-fold),9608,14346,23954
 Religious card,2562,570,3132
 Temporary Registration Card (white),330,352,682
 Foreign Registration Card (FRC),32,45,77
 Foreign Passport,300,189,489
 None,28147,25450,53597
 Child under 10 years,23686,22775,46461
 Total,139026,150362,289388
AREA # 100102,Kyaikemaraw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),37816,44625,82441
 Associate Scrutiny Card (blue),30,37,67
 Naturalised Scrutiny Card (green),246,68,314
 National Registration Card (3-fold),5991,8790,14781
 Religious card,646,25,671
 Temporary Registration Card (white),153,146,299
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,41,18,59
 None,24845,27166,52011
 Child under 10 years,22977,22189,45166
 Total,92746,103064,195810
AREA # 100103,Chaungzon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),30589,41129,71718
 Associate Scrutiny Card (blue),11,21,32
 Naturalised Scrutiny Card (green),153,116,269
 National Registration Card (3-fold),1465,2091,3556
 Religious card,605,19,624
 Temporary Registration Card (white),79,81,160
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,10,7,17
 None,10897,11723,22620
 Child under 10 years,11786,11342,23128
 Total,55596,66530,122126
AREA # 100104,Thanbyuzayat,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),44352,51910,96262
 Associate Scrutiny Card (blue),23,36,59
 Naturalised Scrutiny Card (green),191,131,322
 National Registration Card (3-fold),595,819,1414
 Religious card,1028,145,1173
 Temporary Registration Card (white),220,251,471
 Foreign Registration Card (FRC),4,1,5
 Foreign Passport,9,15,24
 None,18286,19292,37578
 Child under 10 years,16741,16487,33228
 Total,81449,89087,170536
AREA # 100105,Mudon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),53002,64898,117900
 Associate Scrutiny Card (blue),29,47,76
 Naturalised Scrutiny Card (green),185,106,291
 National Registration Card (3-fold),610,1027,1637
 Religious card,1601,285,1886
 Temporary Registration Card (white),204,208,412
 Foreign Registration Card (FRC),7,3,10
 Foreign Passport,8,12,20
 None,16790,17255,34045
 Child under 10 years,17540,16920,34460
 Total,89976,100761,190737
AREA # 100106,Ye,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),40578,43968,84546
 Associate Scrutiny Card (blue),35,28,63
 Naturalised Scrutiny Card (green),222,66,288
 National Registration Card (3-fold),662,803,1465
 Religious card,811,55,866
 Temporary Registration Card (white),180,194,374
 Foreign Registration Card (FRC),5,3,8
 Foreign Passport,11,5,16
 None,18402,16946,35348
 Child under 10 years,15183,14328,29511
 Total,76089,76396,152485
AREA # 100151,Lamine,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),20063,24897,44960
 Associate Scrutiny Card (blue),9,10,19
 Naturalised Scrutiny Card (green),70,19,89
 National Registration Card (3-fold),318,428,746
 Religious card,299,25,324
 Temporary Registration Card (white),117,74,191
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,7,9,16
 None,10651,11471,22122
 Child under 10 years,10098,9909,20007
 Total,41634,46842,88476
AREA # 100152,Khawzar,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6415,6970,13385
 Associate Scrutiny Card (blue),1,7,8
 Naturalised Scrutiny Card (green),32,10,42
 National Registration Card (3-fold),88,126,214
 Religious card,84,3,87
 Temporary Registration Card (white),33,41,74
 Foreign Passport,-,1,1
 None,2179,2193,4372
 Child under 10 years,2328,2152,4480
 Total,11160,11503,22663
AREA # 100201,Thaton,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),54159,57919,112078
 Associate Scrutiny Card (blue),37,46,83
 Naturalised Scrutiny Card (green),521,280,801
 National Registration Card (3-fold),1783,2646,4429
 Religious card,1747,262,2009
 Temporary Registration Card (white),432,190,622
 Foreign Registration Card (FRC),5,6,11
 Foreign Passport,59,38,97
 None,32187,35613,67800
 Child under 10 years,25464,24712,50176
 Total,116394,121712,238106
AREA # 100202,Paung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),51030,58517,109547
 Associate Scrutiny Card (blue),45,32,77
 Naturalised Scrutiny Card (green),1292,1342,2634
 National Registration Card (3-fold),2135,3074,5209
 Religious card,1070,86,1156
 Temporary Registration Card (white),182,152,334
 Foreign Registration Card (FRC),8,4,12
 Foreign Passport,23,23,46
 None,26420,27540,53960
 Child under 10 years,23166,22318,45484
 Total,105371,113088,218459
AREA # 100203,Kyaikto,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),48400,52433,100833
 Associate Scrutiny Card (blue),62,64,126
 Naturalised Scrutiny Card (green),217,132,349
 National Registration Card (3-fold),705,1009,1714
 Religious card,1455,139,1594
 Temporary Registration Card (white),260,292,552
 Foreign Registration Card (FRC),6,2,8
 Foreign Passport,22,16,38
 None,19536,21484,41020
 Child under 10 years,19368,18930,38298
 Total,90031,94501,184532
AREA # 100204,Bilin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),44787,48055,92842
 Associate Scrutiny Card (blue),43,40,83
 Naturalised Scrutiny Card (green),198,120,318
 National Registration Card (3-fold),660,924,1584
 Religious card,1563,223,1786
 Temporary Registration Card (white),168,125,293
 Foreign Registration Card (FRC),5,4,9
 Foreign Passport,18,18,36
 None,20630,24518,45148
 Child under 10 years,19848,19128,38976
 Total,87920,93155,181075
AREA # 110101,Sittway,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),37599,42855,80454
 Associate Scrutiny Card (blue),22,35,57
 Naturalised Scrutiny Card (green),416,492,908
 National Registration Card (3-fold),381,655,1036
 Religious card,1009,112,1121
 Temporary Registration Card (white),804,572,1376
 Foreign Registration Card (FRC),10,8,18
 Foreign Passport,136,58,194
 None,17998,21213,39211
 Child under 10 years,12095,11429,23524
 Total,70470,77429,147899
AREA # 110102,Ponnagyun,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29222,31205,60427
 Associate Scrutiny Card (blue),6,18,24
 Naturalised Scrutiny Card (green),51,26,77
 National Registration Card (3-fold),69,132,201
 Religious card,365,18,383
 Temporary Registration Card (white),77,165,242
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,13,17,30
 None,16767,25223,41990
 Child under 10 years,13409,12968,26377
 Total,59979,69774,129753
AREA # 110103,Pauktaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29320,26049,55369
 Associate Scrutiny Card (blue),24,31,55
 Naturalised Scrutiny Card (green),64,27,91
 National Registration Card (3-fold),133,141,274
 Religious card,391,15,406
 Temporary Registration Card (white),58,70,128
 Foreign Passport,14,31,45
 None,22794,36385,59179
 Child under 10 years,15397,15013,30410
 Total,68195,77762,145957
AREA # 110104,Yethedaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),22782,28054,50836
 Associate Scrutiny Card (blue),14,22,36
 Naturalised Scrutiny Card (green),51,37,88
 National Registration Card (3-fold),147,190,337
 Religious card,341,22,363
 Temporary Registration Card (white),114,162,276
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,15,21,36
 None,14676,21932,36608
 Child under 10 years,11886,11506,23392
 Total,50026,61948,111974
AREA # 110201,Myauk U,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),43311,46229,89540
 Associate Scrutiny Card (blue),17,24,41
 Naturalised Scrutiny Card (green),32,14,46
 National Registration Card (3-fold),139,191,330
 Religious card,740,98,838
 Temporary Registration Card (white),134,182,316
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,32,37,69
 None,23919,36698,60617
 Child under 10 years,19349,18482,37831
 Total,87674,101956,189630
AREA # 110202,Kyauktaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),37921,43095,81016
 Associate Scrutiny Card (blue),11,21,32
 Naturalised Scrutiny Card (green),148,158,306
 National Registration Card (3-fold),107,158,265
 Religious card,542,68,610
 Temporary Registration Card (white),52,108,160
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,29,38,67
 None,21658,34225,55883
 Child under 10 years,17573,17187,34760
 Total,78041,95059,173100
AREA # 110203,Minbya,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),37390,35307,72697
 Associate Scrutiny Card (blue),14,21,35
 Naturalised Scrutiny Card (green),43,27,70
 National Registration Card (3-fold),54,94,148
 Religious card,665,21,686
 Temporary Registration Card (white),153,192,345
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,9,26,35
 None,22678,36901,59579
 Child under 10 years,17869,17743,35612
 Total,78875,90333,169208
AREA # 110204,Myebon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28809,26060,54869
 Associate Scrutiny Card (blue),12,22,34
 Naturalised Scrutiny Card (green),67,61,128
 National Registration Card (3-fold),199,166,365
 Religious card,283,6,289
 Temporary Registration Card (white),423,542,965
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,16,17,33
 None,19904,29654,49558
 Child under 10 years,15646,15305,30951
 Total,65359,71834,137193
AREA # 110301,Maungtaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10041,8883,18924
 Associate Scrutiny Card (blue),6,15,21
 Naturalised Scrutiny Card (green),795,850,1645
 National Registration Card (3-fold),98,103,201
 Religious card,131,7,138
 Temporary Registration Card (white),587,609,1196
 Foreign Registration Card (FRC),5,5,10
 Foreign Passport,11,12,23
 None,3935,4009,7944
 Child under 10 years,4169,3928,8097
 Total,19778,18421,38199
AREA # 110302,Buthidaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),13383,12708,26091
 Associate Scrutiny Card (blue),5,11,16
 Naturalised Scrutiny Card (green),217,238,455
 National Registration Card (3-fold),52,33,85
 Religious card,173,22,195
 Temporary Registration Card (white),993,248,1241
 Foreign Registration Card (FRC),60,4,64
 Foreign Passport,13,6,19
 None,6419,8309,14728
 Child under 10 years,6403,6248,12651
 Total,27718,27827,55545
AREA # 110351,Taungpyoletwe(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),547,461,1008
 Naturalised Scrutiny Card (green),10,16,26
 National Registration Card (3-fold),5,2,7
 Religious card,1,-,1
 Temporary Registration Card (white),125,127,252
 Foreign Registration Card (FRC),14,13,27
 None,290,292,582
 Child under 10 years,328,355,683
 Total,1320,1266,2586
AREA # 110401,Kyaukpyu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),40635,39565,80200
 Associate Scrutiny Card (blue),23,27,50
 Naturalised Scrutiny Card (green),74,38,112
 National Registration Card (3-fold),286,372,658
 Religious card,513,19,532
 Temporary Registration Card (white),171,218,389
 Foreign Registration Card (FRC),5,2,7
 Foreign Passport,649,30,679
 None,20305,30746,51051
 Child under 10 years,16101,15573,31674
 Total,78762,86590,165352
AREA # 110402,Mannaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),17285,22845,40130
 Associate Scrutiny Card (blue),8,7,15
 Naturalised Scrutiny Card (green),27,14,41
 National Registration Card (3-fold),54,110,164
 Religious card,197,20,217
 Temporary Registration Card (white),59,113,172
 Foreign Passport,4,-,4
 None,3230,4878,8108
 Child under 10 years,4093,4022,8115
 Total,24957,32009,56966
AREA # 110403,Yanbye,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),24007,28567,52574
 Associate Scrutiny Card (blue),6,10,16
 Naturalised Scrutiny Card (green),32,15,47
 National Registration Card (3-fold),516,738,1254
 Religious card,389,11,400
 Temporary Registration Card (white),146,213,359
 Foreign Passport,9,12,21
 None,10645,14798,25443
 Child under 10 years,9016,8761,17777
 Total,44766,53125,97891
AREA # 110404,An,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29804,24833,54637
 Associate Scrutiny Card (blue),26,17,43
 Naturalised Scrutiny Card (green),35,17,52
 National Registration Card (3-fold),94,97,191
 Religious card,240,15,255
 Temporary Registration Card (white),121,108,229
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,136,18,154
 None,14912,22677,37589
 Child under 10 years,13454,13108,26562
 Total,58823,60891,119714
AREA # 110501,Thandwe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),38044,38934,76978
 Associate Scrutiny Card (blue),14,18,32
 Naturalised Scrutiny Card (green),166,47,213
 National Registration Card (3-fold),1453,1924,3377
 Religious card,446,22,468
 Temporary Registration Card (white),752,975,1727
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,260,211,471
 None,13881,16370,30251
 Child under 10 years,10103,9858,19961
 Total,65122,68362,133484
AREA # 110502,Toungup,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),31409,32781,64190
 Associate Scrutiny Card (blue),30,7,37
 Naturalised Scrutiny Card (green),43,23,66
 National Registration Card (3-fold),128,201,329
 Religious card,293,30,323
 Temporary Registration Card (white),185,249,434
 Foreign Registration Card (FRC),18,1,19
 Foreign Passport,11,10,21
 None,13163,15321,28484
 Child under 10 years,10393,10141,20534
 Total,55673,58764,114437
AREA # 110503,Gwa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),12995,12946,25941
 Associate Scrutiny Card (blue),3,3,6
 Naturalised Scrutiny Card (green),54,16,70
 National Registration Card (3-fold),125,173,298
 Religious card,119,14,133
 Temporary Registration Card (white),158,226,384
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,9,18,27
 None,4373,4601,8974
 Child under 10 years,3321,3277,6598
 Total,21158,21276,42434
AREA # 110551,Maei(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9690,8398,18088
 Associate Scrutiny Card (blue),12,9,21
 Naturalised Scrutiny Card (green),24,12,36
 National Registration Card (3-fold),57,79,136
 Religious card,110,-,110
 Temporary Registration Card (white),29,46,75
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,14,25,39
 None,7013,9345,16358
 Child under 10 years,4633,4405,9038
 Total,21584,22320,43904
AREA # 110552,Kyeintali(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),7305,7689,14994
 Associate Scrutiny Card (blue),1,4,5
 Naturalised Scrutiny Card (green),13,10,23
 National Registration Card (3-fold),104,135,239
 Religious card,69,6,75
 Temporary Registration Card (white),35,50,85
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,1,-,1
 None,2291,2598,4889
 Child under 10 years,1602,1666,3268
 Total,11422,12159,23581
AREA # 120101,Insein,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),94097,108798,202895
 Associate Scrutiny Card (blue),116,114,230
 Naturalised Scrutiny Card (green),864,593,1457
 National Registration Card (3-fold),3477,4505,7982
 Religious card,1673,253,1926
 Temporary Registration Card (white),939,1112,2051
 Foreign Registration Card (FRC),88,105,193
 Foreign Passport,251,86,337
 None,24256,23860,48116
 Child under 10 years,20397,19699,40096
 Total,146158,159125,305283
AREA # 120102,Mingaladon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),96745,111673,208418
 Associate Scrutiny Card (blue),102,103,205
 Naturalised Scrutiny Card (green),817,490,1307
 National Registration Card (3-fold),4137,5616,9753
 Religious card,2859,1000,3859
 Temporary Registration Card (white),944,1184,2128
 Foreign Registration Card (FRC),70,54,124
 Foreign Passport,266,147,413
 None,28122,29766,57888
 Child under 10 years,24197,23294,47491
 Total,158259,173327,331586
AREA # 120103,Hmawby,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),63330,65453,128783
 Associate Scrutiny Card (blue),66,88,154
 Naturalised Scrutiny Card (green),428,182,610
 National Registration Card (3-fold),4559,6047,10606
 Religious card,1644,332,1976
 Temporary Registration Card (white),899,864,1763
 Foreign Registration Card (FRC),71,56,127
 Foreign Passport,162,50,212
 None,28570,29878,58448
 Child under 10 years,21202,20726,41928
 Total,120931,123676,244607
AREA # 120104,Hlegu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),66613,67311,133924
 Associate Scrutiny Card (blue),47,67,114
 Naturalised Scrutiny Card (green),754,403,1157
 National Registration Card (3-fold),5506,7215,12721
 Religious card,1550,312,1862
 Temporary Registration Card (white),1165,1232,2397
 Foreign Registration Card (FRC),8,9,17
 Foreign Passport,40,28,68
 None,33165,35563,68728
 Child under 10 years,25239,24514,49753
 Total,134087,136654,270741
AREA # 120105,Taikkyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),63538,68063,131601
 Associate Scrutiny Card (blue),167,169,336
 Naturalised Scrutiny Card (green),655,354,1009
 National Registration Card (3-fold),4956,6660,11616
 Religious card,970,184,1154
 Temporary Registration Card (white),593,703,1296
 Foreign Registration Card (FRC),116,124,240
 Foreign Passport,39,28,67
 None,37848,41310,79158
 Child under 10 years,25832,24959,50791
 Total,134714,142554,277268
AREA # 120106,Htantabin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36103,36237,72340
 Associate Scrutiny Card (blue),22,26,48
 Naturalised Scrutiny Card (green),201,107,308
 National Registration Card (3-fold),2020,2784,4804
 Religious card,434,24,458
 Temporary Registration Card (white),113,130,243
 Foreign Registration Card (FRC),5,4,9
 Foreign Passport,7,16,23
 None,18575,20951,39526
 Child under 10 years,14327,13706,28033
 Total,71807,73985,145792
AREA # 120107,Shwepyitha,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),89548,102466,192014
 Associate Scrutiny Card (blue),97,92,189
 Naturalised Scrutiny Card (green),1165,518,1683
 National Registration Card (3-fold),6675,8901,15576
 Religious card,1164,294,1458
 Temporary Registration Card (white),2025,2574,4599
 Foreign Registration Card (FRC),114,88,202
 Foreign Passport,50,33,83
 None,35915,37216,73131
 Child under 10 years,27511,27080,54591
 Total,164264,179262,343526
AREA # 120108,Hlinethaya,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),171415,201596,373011
 Associate Scrutiny Card (blue),227,252,479
 Naturalised Scrutiny Card (green),2090,933,3023
 National Registration Card (3-fold),16608,22511,39119
 Religious card,1563,380,1943
 Temporary Registration Card (white),4089,5530,9619
 Foreign Registration Card (FRC),92,57,149
 Foreign Passport,528,291,819
 None,71402,79812,151214
 Child under 10 years,54848,53643,108491
 Total,322862,365005,687867
AREA # 120201,Thingangyun,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),60375,73340,133715
 Associate Scrutiny Card (blue),179,177,356
 Naturalised Scrutiny Card (green),1794,1714,3508
 National Registration Card (3-fold),3567,4700,8267
 Religious card,1836,544,2380
 Temporary Registration Card (white),2142,2843,4985
 Foreign Registration Card (FRC),119,122,241
 Foreign Passport,231,129,360
 None,15611,14934,30545
 Child under 10 years,12844,12285,25129
 Total,98698,110788,209486
AREA # 120202,Yankin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),22601,28518,51119
 Associate Scrutiny Card (blue),94,110,204
 Naturalised Scrutiny Card (green),540,654,1194
 National Registration Card (3-fold),332,480,812
 Religious card,1053,66,1119
 Temporary Registration Card (white),218,349,567
 Foreign Registration Card (FRC),70,81,151
 Foreign Passport,596,288,884
 None,3451,3945,7396
 Child under 10 years,3769,3731,7500
 Total,32724,38222,70946
AREA # 120203,South Okkalapa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),52851,64267,117118
 Associate Scrutiny Card (blue),114,111,225
 Naturalised Scrutiny Card (green),455,341,796
 National Registration Card (3-fold),1062,1476,2538
 Religious card,1697,94,1791
 Temporary Registration Card (white),542,685,1227
 Foreign Registration Card (FRC),40,56,96
 Foreign Passport,70,50,120
 None,10122,10182,20304
 Child under 10 years,8594,8317,16911
 Total,75547,85579,161126
AREA # 120204,North Okkalapa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),98310,119230,217540
 Associate Scrutiny Card (blue),170,169,339
 Naturalised Scrutiny Card (green),969,624,1593
 National Registration Card (3-fold),3185,4263,7448
 Religious card,1839,568,2407
 Temporary Registration Card (white),2154,3011,5165
 Foreign Registration Card (FRC),85,75,160
 Foreign Passport,112,90,202
 None,28016,28191,56207
 Child under 10 years,21500,20732,42232
 Total,156340,176953,333293
AREA # 120205,Thakayta,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),68669,77258,145927
 Associate Scrutiny Card (blue),91,104,195
 Naturalised Scrutiny Card (green),1088,757,1845
 National Registration Card (3-fold),3166,4559,7725
 Religious card,1592,85,1677
 Temporary Registration Card (white),1430,1949,3379
 Foreign Registration Card (FRC),31,56,87
 Foreign Passport,97,43,140
 None,17219,15436,32655
 Child under 10 years,13907,13019,26926
 Total,107290,113266,220556
AREA # 120206,Dawbon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),21304,23174,44478
 Associate Scrutiny Card (blue),23,43,66
 Naturalised Scrutiny Card (green),950,980,1930
 National Registration Card (3-fold),1370,1627,2997
 Religious card,373,14,387
 Temporary Registration Card (white),458,642,1100
 Foreign Registration Card (FRC),21,25,46
 Foreign Passport,5,10,15
 None,6666,6565,13231
 Child under 10 years,5575,5500,11075
 Total,36745,38580,75325
AREA # 120207,Tamway,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),52720,69237,121957
 Associate Scrutiny Card (blue),254,325,579
 Naturalised Scrutiny Card (green),638,568,1206
 National Registration Card (3-fold),1994,2787,4781
 Religious card,1364,19,1383
 Temporary Registration Card (white),224,333,557
 Foreign Registration Card (FRC),91,90,181
 Foreign Passport,587,187,774
 None,7871,8699,16570
 Child under 10 years,8919,8406,17325
 Total,74662,90651,165313
AREA # 120208,Pazuntaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15872,20106,35978
 Associate Scrutiny Card (blue),248,212,460
 Naturalised Scrutiny Card (green),386,365,751
 National Registration Card (3-fold),441,576,1017
 Religious card,438,7,445
 Temporary Registration Card (white),69,132,201
 Foreign Registration Card (FRC),72,100,172
 Foreign Passport,198,111,309
 None,2040,2327,4367
 Child under 10 years,2367,2388,4755
 Total,22131,26324,48455
AREA # 120209,Botahtaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),13871,16347,30218
 Associate Scrutiny Card (blue),131,130,261
 Naturalised Scrutiny Card (green),266,247,513
 National Registration Card (3-fold),456,587,1043
 Religious card,242,6,248
 Temporary Registration Card (white),96,131,227
 Foreign Registration Card (FRC),65,92,157
 Foreign Passport,201,121,322
 None,1985,1786,3771
 Child under 10 years,2103,2132,4235
 Total,19416,21579,40995
AREA # 120210,Dagon Myothit(South),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),100361,107578,207939
 Associate Scrutiny Card (blue),131,160,291
 Naturalised Scrutiny Card (green),1903,1551,3454
 National Registration Card (3-fold),6532,9051,15583
 Religious card,1290,269,1559
 Temporary Registration Card (white),3482,4328,7810
 Foreign Registration Card (FRC),49,59,108
 Foreign Passport,54,55,109
 None,37235,38700,75935
 Child under 10 years,30103,28755,58858
 Total,181140,190506,371646
AREA # 120211,Dagon Myothit(North),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),65682,76441,142123
 Associate Scrutiny Card (blue),67,47,114
 Naturalised Scrutiny Card (green),345,228,573
 National Registration Card (3-fold),1695,2407,4102
 Religious card,676,196,872
 Temporary Registration Card (white),853,1048,1901
 Foreign Registration Card (FRC),28,15,43
 Foreign Passport,71,67,138
 None,14096,14748,28844
 Child under 10 years,12875,12363,25238
 Total,96388,107560,203948
AREA # 120212,Dagon Myothit(East),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),43884,48127,92011
 Associate Scrutiny Card (blue),41,51,92
 Naturalised Scrutiny Card (green),329,266,595
 National Registration Card (3-fold),1889,2619,4508
 Religious card,1298,157,1455
 Temporary Registration Card (white),926,1168,2094
 Foreign Registration Card (FRC),61,82,143
 Foreign Passport,25,25,50
 None,19601,19625,39226
 Child under 10 years,12807,12647,25454
 Total,80861,84767,165628
AREA # 120213,Dagon Myothit(Seik),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),43965,45109,89074
 Associate Scrutiny Card (blue),62,54,116
 Naturalised Scrutiny Card (green),608,360,968
 National Registration Card (3-fold),3121,4271,7392
 Religious card,489,56,545
 Temporary Registration Card (white),984,1217,2201
 Foreign Registration Card (FRC),9,7,16
 Foreign Passport,67,32,99
 None,18675,19835,38510
 Child under 10 years,14717,13810,28527
 Total,82697,84751,167448
AREA # 120214,Mingala Taungnyunt,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),40946,48167,89113
 Associate Scrutiny Card (blue),271,258,529
 Naturalised Scrutiny Card (green),1236,938,2174
 National Registration Card (3-fold),2232,3005,5237
 Religious card,823,18,841
 Temporary Registration Card (white),533,728,1261
 Foreign Registration Card (FRC),133,144,277
 Foreign Passport,253,157,410
 None,7617,8372,15989
 Child under 10 years,8486,8177,16663
