Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Flush,40,339,379,Oatwin,MMR007013
 Water seal (Improved pit latrine),2823,25417,28240,Oatwin,MMR007013
 Pit (Traditional pit latrine),175,1515,1690,Oatwin,MMR007013
 Bucket (Surface latrine),35,574,609,Oatwin,MMR007013
 Other,18,342,360,Oatwin,MMR007013
 No toilet,118,5474,5592,Oatwin,MMR007013
 Total,3209,33661,36870,Oatwin,MMR007013
 Flush,18,56,74,Htantapin,MMR007014
 Water seal (Improved pit latrine),2199,20210,22409,Htantapin,MMR007014
 Pit (Traditional pit latrine),19,680,699,Htantapin,MMR007014
 Bucket (Surface latrine),23,654,677,Htantapin,MMR007014
 Other,8,156,164,Htantapin,MMR007014
 No toilet,109,2649,2758,Htantapin,MMR007014
 Total,2376,24405,26781,Htantapin,MMR007014
 Flush,637,98,735,Pyay,MMR008001
 Water seal (Improved pit latrine),25625,25018,50643,Pyay,MMR008001
 Pit (Traditional pit latrine),1785,1052,2837,Pyay,MMR008001
 Bucket (Surface latrine),33,147,180,Pyay,MMR008001
 Other,96,48,144,Pyay,MMR008001
 No toilet,639,3379,4018,Pyay,MMR008001
 Total,28815,29742,58557,Pyay,MMR008001
 Flush,60,175,235,Paukkhaung,MMR008002
 Water seal (Improved pit latrine),3499,20480,23979,Paukkhaung,MMR008002
 Pit (Traditional pit latrine),6,1115,1121,Paukkhaung,MMR008002
 Bucket (Surface latrine),-,238,238,Paukkhaung,MMR008002
 Other,4,68,72,Paukkhaung,MMR008002
 No toilet,37,6665,6702,Paukkhaung,MMR008002
 Total,3606,28741,32347,Paukkhaung,MMR008002
 Flush,62,383,445,Padaung,MMR008003
 Water seal (Improved pit latrine),3958,29639,33597,Padaung,MMR008003
 Pit (Traditional pit latrine),292,1082,1374,Padaung,MMR008003
 Bucket (Surface latrine),22,421,443,Padaung,MMR008003
 Other,5,95,100,Padaung,MMR008003
 No toilet,129,2804,2933,Padaung,MMR008003
 Total,4468,34424,38892,Padaung,MMR008003
 Flush,99,121,220,Paunde,MMR008004
 Water seal (Improved pit latrine),6086,21520,27606,Paunde,MMR008004
 Pit (Traditional pit latrine),210,3977,4187,Paunde,MMR008004
 Bucket (Surface latrine),6,649,655,Paunde,MMR008004
 Other,1,285,286,Paunde,MMR008004
 No toilet,79,3667,3746,Paunde,MMR008004
 Total,6481,30219,36700,Paunde,MMR008004
 Flush,25,122,147,Thegon,MMR008005
 Water seal (Improved pit latrine),3975,25208,29183,Thegon,MMR008005
 Pit (Traditional pit latrine),151,3133,3284,Thegon,MMR008005
 Bucket (Surface latrine),4,602,606,Thegon,MMR008005
 Other,20,220,240,Thegon,MMR008005
 No toilet,91,2399,2490,Thegon,MMR008005
 Total,4266,31684,35950,Thegon,MMR008005
 Flush,72,88,160,Shwedaung,MMR008006
 Water seal (Improved pit latrine),4045,22837,26882,Shwedaung,MMR008006
 Pit (Traditional pit latrine),311,1179,1490,Shwedaung,MMR008006
 Bucket (Surface latrine),6,928,934,Shwedaung,MMR008006
 Other,-,82,82,Shwedaung,MMR008006
 No toilet,84,3932,4016,Shwedaung,MMR008006
 Total,4518,29046,33564,Shwedaung,MMR008006
 Flush,97,107,204,Tharyarwaddy,MMR008007
 Water seal (Improved pit latrine),7382,21354,28736,Tharyarwaddy,MMR008007
 Pit (Traditional pit latrine),463,1791,2254,Tharyarwaddy,MMR008007
 Bucket (Surface latrine),20,1164,1184,Tharyarwaddy,MMR008007
 Other,31,299,330,Tharyarwaddy,MMR008007
 No toilet,171,3747,3918,Tharyarwaddy,MMR008007
 Total,8164,28462,36626,Tharyarwaddy,MMR008007
 Flush,112,202,314,Letpadan,MMR008008
 Water seal (Improved pit latrine),5127,25225,30352,Letpadan,MMR008008
 Pit (Traditional pit latrine),302,7435,7737,Letpadan,MMR008008
 Bucket (Surface latrine),14,1443,1457,Letpadan,MMR008008
 Other,15,187,202,Letpadan,MMR008008
 No toilet,165,3257,3422,Letpadan,MMR008008
 Total,5735,37749,43484,Letpadan,MMR008008
 Flush,40,145,185,Minhla,MMR009013
 Water seal (Improved pit latrine),2380,17653,20033,Minhla,MMR009013
 Pit (Traditional pit latrine),231,6752,6983,Minhla,MMR009013
 Bucket (Surface latrine),7,1287,1294,Minhla,MMR009013
 Other,12,113,125,Minhla,MMR009013
 No toilet,32,2242,2274,Minhla,MMR009013
 Total,2702,28192,30894,Minhla,MMR009013
 Flush,35,107,142,Okpo,MMR008010
 Water seal (Improved pit latrine),2014,19032,21046,Okpo,MMR008010
 Pit (Traditional pit latrine),712,5007,5719,Okpo,MMR008010
 Bucket (Surface latrine),11,1714,1725,Okpo,MMR008010
 Other,2,109,111,Okpo,MMR008010
 No toilet,26,3125,3151,Okpo,MMR008010
 Total,2800,29094,31894,Okpo,MMR008010
 Flush,22,137,159,Zigon,MMR008011
 Water seal (Improved pit latrine),3798,11893,15691,Zigon,MMR008011
 Pit (Traditional pit latrine),83,411,494,Zigon,MMR008011
 Bucket (Surface latrine),1,514,515,Zigon,MMR008011
 Other,4,72,76,Zigon,MMR008011
 No toilet,59,1216,1275,Zigon,MMR008011
 Total,3967,14243,18210,Zigon,MMR008011
 Flush,71,196,267,Nattalin,MMR008012
 Water seal (Improved pit latrine),4208,30686,34894,Nattalin,MMR008012
 Pit (Traditional pit latrine),255,6233,6488,Nattalin,MMR008012
 Bucket (Surface latrine),9,971,980,Nattalin,MMR008012
 Other,13,260,273,Nattalin,MMR008012
 No toilet,86,2781,2867,Nattalin,MMR008012
 Total,4642,41127,45769,Nattalin,MMR008012
 Flush,12,159,171,Monyo,MMR008013
 Water seal (Improved pit latrine),1961,16973,18934,Monyo,MMR008013
 Pit (Traditional pit latrine),273,6182,6455,Monyo,MMR008013
 Bucket (Surface latrine),38,4611,4649,Monyo,MMR008013
 Other,48,399,447,Monyo,MMR008013
 No toilet,48,2583,2631,Monyo,MMR008013
 Total,2380,30907,33287,Monyo,MMR008013
 Flush,92,29,121,Gyobingauk,MMR008014
 Water seal (Improved pit latrine),5028,18264,23292,Gyobingauk,MMR008014
 Pit (Traditional pit latrine),315,2290,2605,Gyobingauk,MMR008014
 Bucket (Surface latrine),15,2666,2681,Gyobingauk,MMR008014
 Other,8,133,141,Gyobingauk,MMR008014
 No toilet,126,1620,1746,Gyobingauk,MMR008014
 Total,5584,25002,30586,Gyobingauk,MMR008014
 Flush,510,101,611,Magway,MMR009001
 Water seal (Improved pit latrine),18862,35833,54695,Magway,MMR009001
 Pit (Traditional pit latrine),256,2694,2950,Magway,MMR009001
 Bucket (Surface latrine),12,190,202,Magway,MMR009001
 Other,25,112,137,Magway,MMR009001
 No toilet,205,9877,10082,Magway,MMR009001
 Total,19870,48807,68677,Magway,MMR009001
 Flush,131,48,179,Yenangyoung,MMR009002
 Water seal (Improved pit latrine),9149,13714,22863,Yenangyoung,MMR009002
 Pit (Traditional pit latrine),238,463,701,Yenangyoung,MMR009002
 Bucket (Surface latrine),27,114,141,Yenangyoung,MMR009002
 Other,6,59,65,Yenangyoung,MMR009002
 No toilet,1125,7426,8551,Yenangyoung,MMR009002
 Total,10676,21824,32500,Yenangyoung,MMR009002
 Flush,101,140,241,Chauk,MMR009003
 Water seal (Improved pit latrine),9144,26178,35322,Chauk,MMR009003
 Pit (Traditional pit latrine),225,412,637,Chauk,MMR009003
 Bucket (Surface latrine),54,80,134,Chauk,MMR009003
 Other,82,58,140,Chauk,MMR009003
 No toilet,795,7349,8144,Chauk,MMR009003
 Total,10401,34217,44618,Chauk,MMR009003
 Flush,188,186,374,Taungdwingyi,MMR009004
 Water seal (Improved pit latrine),8641,39048,47689,Taungdwingyi,MMR009004
 Pit (Traditional pit latrine),1011,5217,6228,Taungdwingyi,MMR009004
 Bucket (Surface latrine),10,264,274,Taungdwingyi,MMR009004
 Other,18,214,232,Taungdwingyi,MMR009004
 No toilet,187,5279,5466,Taungdwingyi,MMR009004
 Total,10055,50208,60263,Taungdwingyi,MMR009004
 Flush,40,139,179,Myothit,MMR009005
 Water seal (Improved pit latrine),1663,25095,26758,Myothit,MMR009005
 Pit (Traditional pit latrine),7,846,853,Myothit,MMR009005
 Bucket (Surface latrine),7,115,122,Myothit,MMR009005
 Other,3,129,132,Myothit,MMR009005
 No toilet,26,8878,8904,Myothit,MMR009005
 Total,1746,35202,36948,Myothit,MMR009005
 Flush,44,241,285,Natmauk,MMR009006
 Water seal (Improved pit latrine),3088,35640,38728,Natmauk,MMR009006
 Pit (Traditional pit latrine),19,1258,1277,Natmauk,MMR009006
 Bucket (Surface latrine),-,125,125,Natmauk,MMR009006
 Other,-,68,68,Natmauk,MMR009006
 No toilet,23,7920,7943,Natmauk,MMR009006
 Total,3174,45252,48426,Natmauk,MMR009006
 Flush,266,180,446,Minbu,MMR009007
 Water seal (Improved pit latrine),8490,29151,37641,Minbu,MMR009007
 Pit (Traditional pit latrine),107,278,385,Minbu,MMR009007
 Bucket (Surface latrine),3,19,22,Minbu,MMR009007
 Other,11,70,81,Minbu,MMR009007
 No toilet,313,4929,5242,Minbu,MMR009007
 Total,9190,34627,43817,Minbu,MMR009007
 Flush,28,269,297,Pwint Phyu,MMR009008
 Water seal (Improved pit latrine),1313,31397,32710,Pwint Phyu,MMR009008
 Pit (Traditional pit latrine),15,824,839,Pwint Phyu,MMR009008
 Bucket (Surface latrine),-,40,40,Pwint Phyu,MMR009008
 Other,1,66,67,Pwint Phyu,MMR009008
 No toilet,97,5714,5811,Pwint Phyu,MMR009008
 Total,1454,38310,39764,Pwint Phyu,MMR009008
 Flush,11,63,74,Ngape,MMR009009
 Water seal (Improved pit latrine),953,9528,10481,Ngape,MMR009009
 Pit (Traditional pit latrine),-,907,907,Ngape,MMR009009
 Bucket (Surface latrine),1,46,47,Ngape,MMR009009
 Other,1,94,95,Ngape,MMR009009
 No toilet,13,840,853,Ngape,MMR009009
 Total,979,11478,12457,Ngape,MMR009009
 Flush,72,410,482,Salin,MMR009010
 Water seal (Improved pit latrine),2642,39170,41812,Salin,MMR009010
 Pit (Traditional pit latrine),15,1374,1389,Salin,MMR009010
 Bucket (Surface latrine),2,148,150,Salin,MMR009010
 Other,25,247,272,Salin,MMR009010
 No toilet,30,11470,11500,Salin,MMR009010
 Total,2786,52819,55605,Salin,MMR009010
 Flush,43,14,57,Saytottara,MMR009011
 Water seal (Improved pit latrine),1261,6888,8149,Saytottara,MMR009011
 Pit (Traditional pit latrine),176,1449,1625,Saytottara,MMR009011
 Bucket (Surface latrine),1,40,41,Saytottara,MMR009011
 Other,-,116,116,Saytottara,MMR009011
 No toilet,44,748,792,Saytottara,MMR009011
 Total,1525,9255,10780,Saytottara,MMR009011
 Flush,74,320,394,Thayet,MMR009012
 Water seal (Improved pit latrine),1437,3007,4444,Thayet,MMR009012
 Pit (Traditional pit latrine),2858,14488,17346,Thayet,MMR009012
 Bucket (Surface latrine),68,155,223,Thayet,MMR009012
 Other,37,546,583,Thayet,MMR009012
 No toilet,89,2893,2982,Thayet,MMR009012
 Total,4563,21409,25972,Thayet,MMR009012
 Flush,35,138,173,Minhla,MMR009013
 Water seal (Improved pit latrine),839,3791,4630,Minhla,MMR009013
 Pit (Traditional pit latrine),1932,19448,21380,Minhla,MMR009013
 Bucket (Surface latrine),23,570,593,Minhla,MMR009013
 Other,6,1483,1489,Minhla,MMR009013
 No toilet,146,3211,3357,Minhla,MMR009013
 Total,2981,28641,31622,Minhla,MMR009013
 Flush,3,4,7,Mindon,MMR009014
 Water seal (Improved pit latrine),1262,13584,14846,Mindon,MMR009014
 Pit (Traditional pit latrine),-,389,389,Mindon,MMR009014
 Bucket (Surface latrine),2,55,57,Mindon,MMR009014
 Other,1,82,83,Mindon,MMR009014
 No toilet,2,1425,1427,Mindon,MMR009014
 Total,1270,15539,16809,Mindon,MMR009014
 Flush,1,121,122,Kamma,MMR009015
 Water seal (Improved pit latrine),1206,15367,16573,Kamma,MMR009015
 Pit (Traditional pit latrine),15,559,574,Kamma,MMR009015
 Bucket (Surface latrine),1,78,79,Kamma,MMR009015
 Other,4,102,106,Kamma,MMR009015
 No toilet,67,1622,1689,Kamma,MMR009015
 Total,1294,17849,19143,Kamma,MMR009015
 Flush,300,156,456,Aunglan,MMR009016
 Water seal (Improved pit latrine),3504,6673,10177,Aunglan,MMR009016
 Pit (Traditional pit latrine),6955,27006,33961,Aunglan,MMR009016
 Bucket (Surface latrine),132,907,1039,Aunglan,MMR009016
 Other,125,1247,1372,Aunglan,MMR009016
 No toilet,609,9995,10604,Aunglan,MMR009016
 Total,11625,45984,57609,Aunglan,MMR009016
 Flush,10,120,130,Sinpaungwe`,MMR009017
 Water seal (Improved pit latrine),825,10415,11240,Sinpaungwe`,MMR009017
 Pit (Traditional pit latrine),313,10717,11030,Sinpaungwe`,MMR009017
 Bucket (Surface latrine),6,377,383,Sinpaungwe`,MMR009017
 Other,9,294,303,Sinpaungwe`,MMR009017
 No toilet,118,5480,5598,Sinpaungwe`,MMR009017
 Total,1281,27403,28684,Sinpaungwe`,MMR009017
 Flush,247,385,632,Pakokku,MMR009018
 Water seal (Improved pit latrine),17010,33101,50111,Pakokku,MMR009018
 Pit (Traditional pit latrine),577,934,1511,Pakokku,MMR009018
 Bucket (Surface latrine),69,110,179,Pakokku,MMR009018
 Other,45,98,143,Pakokku,MMR009018
 No toilet,1121,12643,13764,Pakokku,MMR009018
 Total,19069,47271,66340,Pakokku,MMR009018
 Flush,81,528,609,Yesagyo,MMR009019
 Water seal (Improved pit latrine),4366,27728,32094,Yesagyo,MMR009019
 Pit (Traditional pit latrine),155,2527,2682,Yesagyo,MMR009019
 Bucket (Surface latrine),3,202,205,Yesagyo,MMR009019
 Other,5,133,138,Yesagyo,MMR009019
 No toilet,289,11315,11604,Yesagyo,MMR009019
 Total,4899,42433,47332,Yesagyo,MMR009019
 Flush,14,260,274,Myaing,MMR009020
 Water seal (Improved pit latrine),1742,30858,32600,Myaing,MMR009020
 Pit (Traditional pit latrine),7,3958,3965,Myaing,MMR009020
 Bucket (Surface latrine),1,137,138,Myaing,MMR009020
 Other,2,319,321,Myaing,MMR009020
 No toilet,35,16308,16343,Myaing,MMR009020
 Total,1801,51840,53641,Myaing,MMR009020
 Flush,13,75,88,Pauk,MMR009021
 Water seal (Improved pit latrine),1573,21105,22678,Pauk,MMR009021
 Pit (Traditional pit latrine),23,4004,4027,Pauk,MMR009021
 Bucket (Surface latrine),2,158,160,Pauk,MMR009021
 Other,6,141,147,Pauk,MMR009021
 No toilet,84,11781,11865,Pauk,MMR009021
 Total,1701,37264,38965,Pauk,MMR009021
 Flush,9,125,134,Seikphyu,MMR009022
 Water seal (Improved pit latrine),1931,12940,14871,Seikphyu,MMR009022
 Pit (Traditional pit latrine),16,161,177,Seikphyu,MMR009022
 Bucket (Surface latrine),21,44,65,Seikphyu,MMR009022
 Other,3,110,113,Seikphyu,MMR009022
 No toilet,149,7918,8067,Seikphyu,MMR009022
 Total,2129,21298,23427,Seikphyu,MMR009022
 Flush,35,167,202,Gangaw,MMR009023
 Water seal (Improved pit latrine),3168,24697,27865,Gangaw,MMR009023
 Pit (Traditional pit latrine),45,1388,1433,Gangaw,MMR009023
 Bucket (Surface latrine),1,62,63,Gangaw,MMR009023
 Other,-,90,90,Gangaw,MMR009023
 No toilet,9,250,259,Gangaw,MMR009023
 Total,3258,26654,29912,Gangaw,MMR009023
 Flush,1,3,4,Htilin,MMR009024
 Water seal (Improved pit latrine),1100,9269,10369,Htilin,MMR009024
 Pit (Traditional pit latrine),10,107,117,Htilin,MMR009024
 Bucket (Surface latrine),-,4,4,Htilin,MMR009024
 Other,-,5,5,Htilin,MMR009024
 No toilet,12,21,33,Htilin,MMR009024
 Total,1123,9409,10532,Htilin,MMR009024
 Flush,-,36,36,Saw,MMR009025
 Water seal (Improved pit latrine),1188,6065,7253,Saw,MMR009025
 Pit (Traditional pit latrine),43,602,645,Saw,MMR009025
 Bucket (Surface latrine),1,11,12,Saw,MMR009025
 Other,14,5,19,Saw,MMR009025
 No toilet,15,345,360,Saw,MMR009025
 Total,1261,7064,8325,Saw,MMR009025
 Flush,4,69,73,Kyaukhtu(ST),MMR009025
 Water seal (Improved pit latrine),1097,5083,6180,Kyaukhtu(ST),MMR009025
 Pit (Traditional pit latrine),24,1119,1143,Kyaukhtu(ST),MMR009025
 Bucket (Surface latrine),2,12,14,Kyaukhtu(ST),MMR009025
 Other,1,145,146,Kyaukhtu(ST),MMR009025
 No toilet,12,41,53,Kyaukhtu(ST),MMR009025
 Total,1140,6469,7609,Kyaukhtu(ST),MMR009025
 Flush,1673,-,1673,Aungmyetharzan,MMR010001
 Water seal (Improved pit latrine),45103,-,45103,Aungmyetharzan,MMR010001
 Pit (Traditional pit latrine),844,-,844,Aungmyetharzan,MMR010001
 Bucket (Surface latrine),381,-,381,Aungmyetharzan,MMR010001
 Other,296,-,296,Aungmyetharzan,MMR010001
 No toilet,1434,-,1434,Aungmyetharzan,MMR010001
 Total,49731,-,49731,Aungmyetharzan,MMR010001
 Flush,2157,-,2157,Chanayeharzan,MMR010002
 Water seal (Improved pit latrine),29741,-,29741,Chanayeharzan,MMR010002
 Pit (Traditional pit latrine),735,-,735,Chanayeharzan,MMR010002
 Bucket (Surface latrine),25,-,25,Chanayeharzan,MMR010002
 Other,64,-,64,Chanayeharzan,MMR010002
 No toilet,559,-,559,Chanayeharzan,MMR010002
 Total,33281,-,33281,Chanayeharzan,MMR010002
 Flush,2123,-,2123,Mahaaungmye,MMR010003
 Water seal (Improved pit latrine),36617,-,36617,Mahaaungmye,MMR010003
 Pit (Traditional pit latrine),1159,-,1159,Mahaaungmye,MMR010003
 Bucket (Surface latrine),84,-,84,Mahaaungmye,MMR010003
 Other,288,-,288,Mahaaungmye,MMR010003
 No toilet,1656,-,1656,Mahaaungmye,MMR010003
 Total,41927,-,41927,Mahaaungmye,MMR010003
 Flush,2060,-,2060,Chanmyatharzi,MMR010004
 Water seal (Improved pit latrine),45685,-,45685,Chanmyatharzi,MMR010004
 Pit (Traditional pit latrine),3297,-,3297,Chanmyatharzi,MMR010004
 Bucket (Surface latrine),173,-,173,Chanmyatharzi,MMR010004
 Other,310,-,310,Chanmyatharzi,MMR010004
 No toilet,1522,-,1522,Chanmyatharzi,MMR010004
 Total,53047,-,53047,Chanmyatharzi,MMR010004
 Flush,1529,-,1529,Pyigyidagun,MMR010005
 Water seal (Improved pit latrine),38940,-,38940,Pyigyidagun,MMR010005
 Pit (Traditional pit latrine),1419,-,1419,Pyigyidagun,MMR010005
 Bucket (Surface latrine),58,-,58,Pyigyidagun,MMR010005
 Other,107,-,107,Pyigyidagun,MMR010005
 No toilet,1822,-,1822,Pyigyidagun,MMR010005
 Total,43875,-,43875,Pyigyidagun,MMR010005
 Flush,308,1072,1380,Amarapura,MMR010006
 Water seal (Improved pit latrine),14838,24955,39793,Amarapura,MMR010006
 Pit (Traditional pit latrine),373,962,1335,Amarapura,MMR010006
 Bucket (Surface latrine),5,204,209,Amarapura,MMR010006
 Other,51,95,146,Amarapura,MMR010006
 No toilet,1055,5708,6763,Amarapura,MMR010006
 Total,16630,32996,49626,Amarapura,MMR010006
 Flush,56,654,710,Patheingyi,MMR010007
 Water seal (Improved pit latrine),2484,37189,39673,Patheingyi,MMR010007
 Pit (Traditional pit latrine),102,2623,2725,Patheingyi,MMR010007
 Bucket (Surface latrine),-,150,150,Patheingyi,MMR010007
 Other,1,384,385,Patheingyi,MMR010007
 No toilet,59,9288,9347,Patheingyi,MMR010007
 Total,2702,50288,52990,Patheingyi,MMR010007
 Flush,1376,300,1676,Pyin Oo Lwin,MMR010008
 Water seal (Improved pit latrine),29762,19672,49434,Pyin Oo Lwin,MMR010008
 Pit (Traditional pit latrine),519,320,839,Pyin Oo Lwin,MMR010008
 Bucket (Surface latrine),11,15,26,Pyin Oo Lwin,MMR010008
 Other,52,89,141,Pyin Oo Lwin,MMR010008
 No toilet,221,1045,1266,Pyin Oo Lwin,MMR010008
 Total,31941,21441,53382,Pyin Oo Lwin,MMR010008
 Flush,100,802,902,Madaya,MMR010009
 Water seal (Improved pit latrine),5034,33014,38048,Madaya,MMR010009
 Pit (Traditional pit latrine),44,6326,6370,Madaya,MMR010009
 Bucket (Surface latrine),1,390,391,Madaya,MMR010009
 Other,-,228,228,Madaya,MMR010009
 No toilet,132,12574,12706,Madaya,MMR010009
 Total,5311,53334,58645,Madaya,MMR010009
 Flush,149,596,745,Sinku,MMR010010
 Water seal (Improved pit latrine),1199,22255,23454,Sinku,MMR010010
 Pit (Traditional pit latrine),306,4320,4626,Sinku,MMR010010
 Bucket (Surface latrine),-,175,175,Sinku,MMR010010
 Other,4,179,183,Sinku,MMR010010
 No toilet,74,5276,5350,Sinku,MMR010010
 Total,1732,32801,34533,Sinku,MMR010010
 Flush,418,275,693,Mogok,MMR010011
 Water seal (Improved pit latrine),15332,15620,30952,Mogok,MMR010011
 Pit (Traditional pit latrine),683,1854,2537,Mogok,MMR010011
 Bucket (Surface latrine),17,43,60,Mogok,MMR010011
 Other,43,62,105,Mogok,MMR010011
 No toilet,193,707,900,Mogok,MMR010011
 Total,16686,18561,35247,Mogok,MMR010011
 Flush,1,258,259,Thabeikkyin,MMR010012
 Water seal (Improved pit latrine),584,17036,17620,Thabeikkyin,MMR010012
 Pit (Traditional pit latrine),232,1962,2194,Thabeikkyin,MMR010012
 Bucket (Surface latrine),2,174,176,Thabeikkyin,MMR010012
 Other,-,162,162,Thabeikkyin,MMR010012
 No toilet,369,4969,5338,Thabeikkyin,MMR010012
 Total,1188,24561,25749,Thabeikkyin,MMR010012
 Flush,12,14,26,Tagaung,MMR010012
 Water seal (Improved pit latrine),1422,2937,4359,Tagaung,MMR010012
 Pit (Traditional pit latrine),61,254,315,Tagaung,MMR010012
 Bucket (Surface latrine),3,41,44,Tagaung,MMR010012
 Other,38,4,42,Tagaung,MMR010012
 No toilet,257,2349,2606,Tagaung,MMR010012
 Total,1793,5599,7392,Tagaung,MMR010012
 Flush,168,1172,1340,Kyaukse,MMR010013
 Water seal (Improved pit latrine),7990,39020,47010,Kyaukse,MMR010013
 Pit (Traditional pit latrine),246,964,1210,Kyaukse,MMR010013
 Bucket (Surface latrine),1,132,133,Kyaukse,MMR010013
 Other,6,152,158,Kyaukse,MMR010013
 No toilet,80,7834,7914,Kyaukse,MMR010013
 Total,8491,49274,57765,Kyaukse,MMR010013
 Flush,39,827,866,Singaing,MMR010014
 Water seal (Improved pit latrine),1590,25769,27359,Singaing,MMR010014
 Pit (Traditional pit latrine),123,983,1106,Singaing,MMR010014
 Bucket (Surface latrine),1,37,38,Singaing,MMR010014
 Other,3,63,66,Singaing,MMR010014
 No toilet,24,4120,4144,Singaing,MMR010014
 Total,1780,31799,33579,Singaing,MMR010014
 Flush,56,587,643,Myitthar,MMR010015
 Water seal (Improved pit latrine),4000,29783,33783,Myitthar,MMR010015
 Pit (Traditional pit latrine),181,1500,1681,Myitthar,MMR010015
 Bucket (Surface latrine),2,148,150,Myitthar,MMR010015
 Other,2,27,29,Myitthar,MMR010015
 No toilet,105,9626,9731,Myitthar,MMR010015
 Total,4346,41671,46017,Myitthar,MMR010015
 Flush,61,492,553,Tada U,MMR010016
 Water seal (Improved pit latrine),2489,21972,24461,Tada U,MMR010016
 Pit (Traditional pit latrine),25,1016,1041,Tada U,MMR010016
 Bucket (Surface latrine),1,16,17,Tada U,MMR010016
 Other,8,52,60,Tada U,MMR010016
 No toilet,68,6427,6495,Tada U,MMR010016
 Total,2652,29975,32627,Tada U,MMR010016
 Flush,479,1433,1912,Myingyan,MMR010017
 Water seal (Improved pit latrine),16122,25882,42004,Myingyan,MMR010017
 Pit (Traditional pit latrine),989,513,1502,Myingyan,MMR010017
 Bucket (Surface latrine),84,253,337,Myingyan,MMR010017
 Other,86,240,326,Myingyan,MMR010017
 No toilet,1137,15122,16259,Myingyan,MMR010017
 Total,18897,43443,62340,Myingyan,MMR010017
 Flush,32,851,883,Taungtha,MMR010018
 Water seal (Improved pit latrine),3300,22276,25576,Taungtha,MMR010018
 Pit (Traditional pit latrine),53,1577,1630,Taungtha,MMR010018
 Bucket (Surface latrine),8,133,141,Taungtha,MMR010018
 Other,10,180,190,Taungtha,MMR010018
 No toilet,460,20972,21432,Taungtha,MMR010018
 Total,3863,45989,49852,Taungtha,MMR010018
 Flush,20,272,292,Natogyi,MMR010019
 Water seal (Improved pit latrine),2643,27350,29993,Natogyi,MMR010019
 Pit (Traditional pit latrine),51,1561,1612,Natogyi,MMR010019
 Bucket (Surface latrine),2,103,105,Natogyi,MMR010019
 Other,19,276,295,Natogyi,MMR010019
 No toilet,107,8561,8668,Natogyi,MMR010019
 Total,2842,38123,40965,Natogyi,MMR010019
 Flush,412,915,1327,Kyaukpadaung,MMR010020
 Water seal (Improved pit latrine),8497,41795,50292,Kyaukpadaung,MMR010020
 Pit (Traditional pit latrine),25,217,242,Kyaukpadaung,MMR010020
 Bucket (Surface latrine),12,59,71,Kyaukpadaung,MMR010020
 Other,7,62,69,Kyaukpadaung,MMR010020
 No toilet,60,9900,9960,Kyaukpadaung,MMR010020
 Total,9013,52948,61961,Kyaukpadaung,MMR010020
 Flush,6,756,762,Ngazun,MMR010021
 Water seal (Improved pit latrine),1524,14131,15655,Ngazun,MMR010021
 Pit (Traditional pit latrine),5,491,496,Ngazun,MMR010021
 Bucket (Surface latrine),-,33,33,Ngazun,MMR010021
 Other,14,113,127,Ngazun,MMR010021
 No toilet,108,10657,10765,Ngazun,MMR010021
 Total,1657,26181,27838,Ngazun,MMR010021
 Flush,290,503,793,Nyaung U,MMR010022
 Water seal (Improved pit latrine),8423,21282,29705,Nyaung U,MMR010022
 Pit (Traditional pit latrine),76,496,572,Nyaung U,MMR010022
 Bucket (Surface latrine),4,35,39,Nyaung U,MMR010022
 Other,10,109,119,Nyaung U,MMR010022
 No toilet,712,12722,13434,Nyaung U,MMR010022
 Total,9515,35147,44662,Nyaung U,MMR010022
 Flush,63,545,608,Yame`thin,MMR010023
 Water seal (Improved pit latrine),4363,40424,44787,Yame`thin,MMR010023
 Pit (Traditional pit latrine),825,1724,2549,Yame`thin,MMR010023
 Bucket (Surface latrine),31,79,110,Yame`thin,MMR010023
 Other,5,22,27,Yame`thin,MMR010023
 No toilet,40,9138,9178,Yame`thin,MMR010023
 Total,5327,51932,57259,Yame`thin,MMR010023
 Flush,93,351,444,Pyawbwe,MMR010024
 Water seal (Improved pit latrine),5738,42021,47759,Pyawbwe,MMR010024
 Pit (Traditional pit latrine),860,2759,3619,Pyawbwe,MMR010024
 Bucket (Surface latrine),2,67,69,Pyawbwe,MMR010024
 Other,13,40,53,Pyawbwe,MMR010024
 No toilet,168,6751,6919,Pyawbwe,MMR010024
 Total,6874,51989,58863,Pyawbwe,MMR010024
 Flush,611,313,924,Meiktila,MMR010028
 Water seal (Improved pit latrine),22167,36866,59033,Meiktila,MMR010028
 Pit (Traditional pit latrine),913,1002,1915,Meiktila,MMR010028
 Bucket (Surface latrine),18,37,55,Meiktila,MMR010028
 Other,103,31,134,Meiktila,MMR010028
 No toilet,151,6227,6378,Meiktila,MMR010028
 Total,23963,44476,68439,Meiktila,MMR010028
 Flush,26,927,953,Thazi,MMR010030
 Water seal (Improved pit latrine),4528,29981,34509,Thazi,MMR010030
 Pit (Traditional pit latrine),64,2787,2851,Thazi,MMR010030
 Bucket (Surface latrine),6,124,130,Thazi,MMR010030
 Other,17,162,179,Thazi,MMR010030
 No toilet,79,6191,6270,Thazi,MMR010030
 Total,4720,40172,44892,Thazi,MMR010030
 Flush,123,258,381,Wundwin,MMR010031
 Water seal (Improved pit latrine),6646,36090,42736,Wundwin,MMR010031
